,Random Walk,Elo,Bradley-Terry,TTU,AP Poll
Random Walk,0.0,0.6053669410150891,0.6907578875171467,0.32,0.2986111111111111
Elo,0.6053669410150891,0.0,0.6316872427983539,0.4,0.3541666666666667
Bradley-Terry,0.6907578875171467,0.6316872427983539,0.0,0.28,0.3888888888888889
TTU,0.32,0.4,0.28,0.0,-0.2
AP Poll,0.2986111111111111,0.3541666666666667,0.3888888888888889,-0.2,0.0
