1	USC	12-1	0	-	vs #6MichiganW28-14	-
2	LSU	13-1	0	-	vs #3OklahomaW21-14	-
3	Oklahoma	12-2	0	-	@ #2LSUL21-14	-
4	Ohio State	11-2	0	-	vs #14Kansas StateW35-28	-
5	Miami	11-2	0	-	@ #11Florida StateW16-14	-
6	Michigan	10-3	0	-	@ #1USCL28-14	-
7	Georgia	11-3	0	-	@ #18PurdueW34-27	-
8	Iowa	10-3	0	-	@ #24FloridaW37-17	-
9	Washington State	10-3	0	-	vs #12TexasW28-20	-
10	Miami (OH)	13-1	0	-	@LouisvilleW49-28	-
11	Florida State	10-3	0	-	vs #5MiamiL16-14	-
12	Texas	10-3	0	-	@ #9Washington StateL28-20	-
13	Ole Miss	10-3	0	-	vsOklahoma StateW31-28	-
14	Kansas State	11-4	0	-	@ #4Ohio StateL35-28	-
15	Tennessee	10-3	0	-	@ #22ClemsonL27-14	-
16	Boise State	13-1	0	-	vs #25TCUW34-31	-
17	Maryland	10-3	0	-	@West VirginiaW41-7	-
18	Purdue	9-4	0	-	vs #7GeorgiaL34-27	-
19	Nebraska	10-3	0	-	vsMichigan StateW17-3	-
20	Minnesota	10-3	0	-	vsOregonW31-30	-
21	Utah	10-2	0	-	@Southern MissW17-0	-
22	Clemson	9-4	0	NR	vs #15TennesseeW27-14	-
23	Bowling Green	11-3	0	NR	vsNorthwesternW28-24	-
24	Florida	8-5	0	-	vs #8IowaL37-17	-
