1	GeorgiaUGa	15-0	1575	63	1	-	1/3
2	Texas ChristianTCU	13-2	1482	0	4	+2	2/NR
3	MichiganMich	13-1	1423	0	2	-1	2/6
4	Ohio StateOhioSt	11-2	1404	0	3	-1	2/5
5	AlabamaAla	11-2	1329	0	5	-	1/11
6	TennesseeTenn	11-2	1273	0	6	-	3/NR
7	Penn StatePSU	11-2	1199	0	7	-	7/NR
8	WashingtonWash	11-2	1091	0	12	+4	8/NR
9	TulaneTulane	12-2	981	0	17	+8	9/NR
10	Florida StateFlaSt	10-3	926	0	13	+3	10/NR
11	UtahUtah	10-4	878	0	10	-1	8/19
12	ClemsonClem	11-3	839	0	11	-1	4/12
13	Southern CaliforniaUSC	11-3	829	0	8	-5	4/15
14	Kansas StateKanSt	10-4	769	0	9	-5	9/NR
15	Louisiana StateLSU	10-4	766	0	15	-	6/NR
16	OregonOregon	10-3	708	0	14	-2	6/24
17	Oregon StateOreSt	10-3	690	0	16	-1	16/NR
18	Notre DameND	9-4	498	0	20	+2	5/NR
19	Mississippi StateMissSt	9-4	364	0	23	+4	17/NR
20	TroyTroy	12-2	314	0	24	+4	20/NR
21	UCLAUCLA	9-4	238	0	18	-3	10/NR
22	PittsburghPitt	9-4	193	0	NR	+8	14/NR
23	South CarolinaSCar	8-5	164	0	19	-4	19/NR
24	Fresno StateFres	10-4	134	0	NR	+5	24/NR
