1	Southern CaliforniaUSC	13-0	1525	61	1	-	1/1
2	AuburnAuburn	13-0	1460	0	3	+1	2/19
3	OklahomaOkla	12-1	1366	0	2	-1	2/3
4	TexasTex	11-1	1324	0	5	+1	4/11
5	UtahUtah	12-0	1300	0	6	+1	5/21
6	GeorgiaUGa	10-2	1191	0	7	+1	3/10
7	LouisvilleLou	11-1	1166	0	8	+1	7/NR
8	IowaIowa	10-2	1022	0	13	+5	8/NR
9	CaliforniaCal	10-2	937	0	4	-5	4/15
10	Virginia TechVaTech	10-3	906	0	9	-1	9/NR
11	MiamiMia-Fl	9-3	903	0	14	+3	3/17
12	MichiganMich	9-3	802	0	12	-	7/18
13	Boise StateBoise	11-1	792	0	10	-3	10/NR
14	Florida StateFlaSt	9-3	776	0	15	+1	5/17
15	TennesseeTenn	10-3	771	0	17	+2	8/18
16	Louisiana StateLSU	9-3	693	0	11	-5	3/24
17	Texas TechTxTch	8-4	478	0	21	+4	17/NR
18	WisconsinWisc	9-3	449	0	16	-2	4/22
19	Ohio StateOhioSt	8-4	430	0	22	+3	6/NR
20	Arizona StateAriSt	9-3	377	0	24	+4	19/NR
21	Boston CollegeBC	9-3	245	0	NR	+5	19/NR
22	Fresno StateFres	9-3	206	0	NR	+5	17/NR
23	VirginiaUVa	8-4	157	0	18	-5	6/23
24	NavyNavy	10-2	129	0	NR	+6	24/NR
