1	Ohio StateOhioSt	14-1	1550	62	4	+3	1/20
2	OregonOregon	13-2	1477	0	3	+1	2/11
3	Texas ChristianTCU	12-1	1408	0	6	+3	3/NR
4	AlabamaAla	12-2	1363	0	1	-3	1/7
5	Michigan StateMSU	11-2	1282	0	7	+2	5/13
6	Florida StateFlaSt	13-1	1262	0	2	-4	1/6
7	Georgia TechGaTech	11-3	1136	0	9	+2	7/NR
8	BaylorBaylor	11-2	1135	0	5	-3	3/13
9	GeorgiaUGa	10-3	1018	0	13	+4	6/17
10	UCLAUCLA	10-3	909	0	15	+5	7/NR
11	MissouriMissou	11-3	907	0	14	+3	11/NR
12	Mississippi StateMissSt	10-3	799	0	8	-4	1/NR
13	WisconsinWisc	11-3	765	0	17	+4	11/NR
14	Arizona StateAriSt	10-3	750	0	16	+2	8/24
15	ClemsonClem	10-3	733	0	18	+3	15/NR
16	Boise StateBoise	12-2	627	0	21	+5	16/NR
17	ArizonaAri	10-4	574	0	11	-6	8/NR
18	Kansas StateKanSt	9-4	556	0	10	-8	9/25
19	MississippiMiss	9-4	444	0	12	-7	3/19
20	UtahUtah	9-4	331	0	25	+5	18/NR
21	Southern CaliforniaUSC	9-4	297	0	NR	+6	10/NR
22	MarshallMarsh	13-1	178	0	NR	+6	18/NR
23	AuburnAuburn	8-5	167	0	19	-4	2/23
24	LouisvilleLou	9-4	113	0	20	-4	20/NR
