1	Ohio State	14-1	1475	-	vs #2OregonW42-20	-
2	Oregon	13-2	1402	-	vs #1Ohio StateL42-20	-
3	TCU	12-1	1349	-	vs #17Ole MissW42-3	-
4	Alabama	12-2	1297	-	vs #1Ohio StateL42-35	-
5	Florida State	13-1	1212	-	vs #2OregonL59-20	-
	Michigan State	11-2	1212	-	vs #7BaylorW42-41	-
7	Baylor	11-2	1098	-	vs #5Michigan StateL42-41	-
8	Georgia Tech	11-3	1071	-	vs #11Mississippi StateW49-34	-
9	Georgia	10-3	925	-	vs #24LouisvilleW37-14	-
10	UCLA	10-3	908	-	vs #18Kansas StateW40-35	-
11	Mississippi State	10-3	767	-	vs #8Georgia TechL49-34	-
12	Arizona State	10-3	756	-	vsDukeW36-31	-
13	Wisconsin	11-3	724	-	vs #22AuburnW34-31	-
14	Missouri	11-3	710	-	vsMinnesotaW33-17	-
15	Clemson	10-3	683	-	vsOklahomaW40-6	-
16	Boise State	12-2	653	-	vs #19ArizonaW38-30	-
17	Ole Miss	9-4	543	-	vs #3TCUL42-3	-
18	Kansas State	9-4	509	-	vs #10UCLAL40-35	-
19	Arizona	10-4	499	-	vs #16Boise StateL38-30	-
20	USC	9-4	315	-	vsNebraskaW45-42	-
21	Utah	9-4	302	-	vsColorado StateW45-10	-
22	Auburn	8-5	216	-	vs #13WisconsinL34-31	-
23	Marshall	13-1	161	NR	vsNorthern IllinoisW52-23	-
24	Louisville	9-4	116	-	vs #9GeorgiaL37-14	-
