1	TexasTex	13-0	1550	62	2	+1	1/2
2	Southern CaliforniaUSC	12-1	1483	0	1	-1	1/2
3	Penn StatePSU	11-1	1421	0	3	-	3/NR
4	Ohio StateOhioSt	10-2	1357	0	4	-	4/15
5	Louisiana StateLSU	11-2	1281	0	10	+5	3/11
6	West VirginiaWVU	11-1	1235	0	11	+5	6/NR
7	Virginia TechVaTech	11-2	1176	0	12	+5	3/12
8	AlabamaAla	10-2	1066	0	13	+5	3/24
9	Texas ChristianTCU	11-1	914	0	14	+5	9/NR
10	GeorgiaUGa	10-3	900	0	8	-2	4/14
11	Notre DameND	9-3	866	0	6	-5	6/NR
12	OregonOregon	10-2	837	0	5	-7	5/NR
13	UCLAUCLA	10-2	774	0	17	+4	7/NR
14	AuburnAuburn	9-3	760	0	7	-7	7/NR
15	WisconsinWisc	10-3	739	0	20	+5	14/NR
16	FloridaFla	9-3	718	0	18	+2	5/20
17	Boston CollegeBC	9-3	584	0	19	+2	11/25
18	MiamiMia-Fl	9-3	558	0	9	-9	3/18
19	Texas TechTxTch	9-3	422	0	15	-4	8/21
20	LouisvilleLou	9-3	342	0	16	-4	8/NR
21	ClemsonClem	8-4	310	0	23	+2	21/NR
22	OklahomaOkla	8-4	274	0	NR	+4	5/NR
23	Florida StateFlaSt	8-5	209	0	22	-1	5/NR
24	NebraskaNeb	8-4	109	0	NR	+11	24/NR
