1	Florida	13-1	0	-	@ #2Ohio StateW41-14	-
2	Ohio State	12-1	0	-	vs #1FloridaL41-14	-
3	LSU	11-2	0	-	vs #17Notre DameW41-14	-
4	USC	11-2	0	-	@ #8MichiganW32-18	-
5	Boise State	13-0	0	-	@ #11OklahomaW43-42	-
6	Louisville	12-1	0	-	@ #18Wake ForestW24-13	-
7	Wisconsin	12-1	0	-	vs #15ArkansasW17-14	-
8	Michigan	11-2	0	-	vs #4USCL32-18	-
9	Auburn	11-2	0	-	@NebraskaW17-14	-
10	West Virginia	11-2	0	-	vsGeorgia TechW38-35	-
11	Oklahoma	11-3	0	-	vs #5Boise StateL43-42	-
12	Rutgers	11-2	0	-	@Kansas StateW37-10	-
13	Texas	10-3	0	-	@IowaW26-24	-
14	California	10-3	0	-	vsTexas A&MW45-10	-
15	Arkansas	10-4	0	-	@ #7WisconsinL17-14	-
16	BYU	11-2	0	-	@OregonW38-8	-
17	Notre Dame	10-3	0	-	@ #3LSUL41-14	-
18	Wake Forest	11-3	0	-	vs #6LouisvilleL24-13	-
19	Virginia Tech	10-3	0	-	vs #23GeorgiaL31-24	-
20	Boston College	10-3	0	-	vsNavyW25-24	-
21	Oregon State	10-4	0	-	@MissouriW39-38	-
22	TCU	11-2	0	-	vsNorthern IllinoisW37-7	-
23	Georgia	9-4	0	NR	@ #19Virginia TechW31-24	-
24	Penn State	9-4	0	NR	vs #25TennesseeW20-10	-
