1	Georgia	14-1	1525	-	vs #2AlabamaW33-18	-
2	Alabama	13-2	1464	-	vs #1GeorgiaL33-18	-
3	Michigan	12-2	1361	-	vs #1GeorgiaL34-11	-
4	Cincinnati	13-1	1349	-	vs #2AlabamaL27-6	-
5	Baylor	12-2	1259	-	vs #11Ole MissW21-7	-
6	Ohio State	11-2	1247	-	vs #12UtahW48-45	-
7	Oklahoma State	12-2	1177	-	vs #8Notre DameW37-35	-
8	Notre Dame	11-2	1039	-	vs #7Oklahoma StateL37-35	-
9	Michigan State	11-2	1026	-	vs #13PittsburghW31-21	-
10	Oklahoma	11-2	966	-	vs #22OregonW47-32	-
11	Ole Miss	10-3	926	-	vs #5BaylorL21-7	-
12	Utah	10-4	851	-	vs #6Ohio StateL48-45	-
13	Pittsburgh	11-3	741	-	vs #9Michigan StateL31-21	-
14	Clemson	10-3	538	-	vsIowa StateW20-13	-
15	Wake Forest	11-3	533	-	vsRutgersW38-10	-
16	Louisiana	13-1	517	-	vsMarshallW36-21	-
17	Houston	12-2	513	-	vsAuburnW17-13	-
18	Kentucky	10-3	446	-	vs #23IowaW20-17	-
19	BYU	10-3	435	-	vsUABL31-28	-
20	NC State	9-3	382	-	-	-
21	Arkansas	9-4	371	-	vsPenn StateW24-10	-
22	Oregon	10-4	364	-	vs #10OklahomaL47-32	-
23	Iowa	10-4	171	-	vs #18KentuckyL20-17	-
24	Utah State	11-3	163	NR	vsOregon StateW24-13	-
