1	AlabamaAla	13-1	1550	62	4	+3	1/5
2	GeorgiaUGa	13-2	1485	0	3	+1	2/15
3	OklahomaOkla	12-2	1414	0	2	-1	2/12
4	ClemsonClem	12-2	1329	0	1	-3	1/8
5	Ohio StateOhioSt	12-2	1304	0	5	-	2/11
6	WisconsinWisc	13-1	1223	0	6	-	3/12
7	Central FloridaUCF	13-0	1202	0	10	+3	7/NR
8	Penn StatePSU	11-2	1134	0	9	+1	2/13
9	Texas ChristianTCU	11-3	1013	0	13	+4	4/NR
10	Southern CaliforniaUSC	11-3	904	0	7	-3	4/21
11	Notre DameND	10-3	888	0	15	+4	5/NR
12	AuburnAuburn	10-4	885	0	8	-4	4/21
13	MiamiMia-Fl	10-3	769	0	11	-2	2/18
14	Oklahoma StateOkSt	10-3	757	0	17	+3	7/21
15	WashingtonWash	10-3	706	0	12	-3	4/15
16	Michigan StateMSU	10-3	682	0	19	+3	16/NR
17	NorthwesternNW	10-3	543	0	20	+3	17/NR
18	Louisiana StateLSU	9-4	424	0	14	-4	11/NR
19	StanfordStan	9-5	354	0	16	-3	14/NR
20	Mississippi StateMissSt	9-4	349	0	23	+3	17/NR
21	South FloridaUSF	10-2	285	0	24	+3	13/24
22	Boise StateBoise	11-3	242	0	25	+3	22/NR
23	NC StateNCSU	9-4	198	0	NR	+3	15/NR
24	MemphisMem	10-3	149	0	18	-6	14/NR
