1	Michigan	15-0	1525	-	vs #2WashingtonW34-13	-
2	Washington	14-1	1459	-	vs #1MichiganL34-13	-
3	Texas	12-2	1356	-	vs #2WashingtonL37-31	-
4	Georgia	13-1	1328	-	vs #6Florida StateW63-3	-
5	Alabama	12-2	1321	-	vs #1MichiganL27-20	-
6	Florida State	13-1	1175	-	vs #4GeorgiaL63-3	-
7	Oregon	12-2	1175	-	vs #25LibertyW45-6	-
8	Missouri	11-2	1092	-	vs #10Ohio StateW14-3	-
9	Ole Miss	11-2	1030	-	vs #13Penn StateW38-25	-
10	Ohio State	11-2	1006	-	vs #8MissouriL14-3	-
11	Arizona	10-3	861	-	vs #15OklahomaW38-24	-
12	LSU	10-3	853	-	vsWisconsinW35-31	-
13	Penn State	10-3	796	-	vs #9Ole MissL38-25	-
14	Notre Dame	10-3	745	-	vsOregon StateW40-8	-
15	Oklahoma	10-3	691	-	vs #11ArizonaL38-24	-
16	Oklahoma State	10-4	528	-	vsTexas A&MW31-23	-
17	Tennessee	9-4	442	-	vs #24IowaW35-0	-
18	Kansas State	9-4	402	NR	vs #21NC StateW28-19	-
19	Louisville	10-4	398	-	vsUSCL42-28	-
20	Clemson	9-4	327	NR	vsKentuckyW38-35	-
21	NC State	9-4	244	-	vs #18Kansas StateL28-19	-
22	SMU	11-3	183	-	vsBoston CollegeL23-14	-
23	Kansas	9-4	153	NR	vsUNLVW49-36	-
24	Iowa	10-4	150	-	vs #17TennesseeL35-0	-
