1	Florida StateFlaSt	14-0	1475	59	1	-	1/12
2	AuburnAuburn	12-2	1388	0	2	-	2/NR
3	Michigan StateMSU	13-1	1375	0	4	+1	3/NR
4	South CarolinaSCar	11-2	1219	0	8	+4	4/20
5	MissouriMissou	12-2	1200	0	9	+4	5/NR
6	OklahomaOkla	11-2	1189	0	10	+4	6/18
7	ClemsonClem	11-2	1091	0	11	+4	4/11
8	AlabamaAla	11-2	1086	0	3	-5	1/8
9	OregonOregon	11-2	975	0	12	+3	2/12
10	Ohio StateOhioSt	12-2	872	0	6	-4	2/10
10	StanfordStan	11-3	872	0	7	-3	4/13
12	Central FloridaUCF	12-1	865	0	15	+3	12/NR
13	BaylorBaylor	11-2	796	0	5	-8	4/NR
14	Louisiana StateLSU	10-3	719	0	14	-	6/19
15	LouisvilleLou	12-1	703	0	16	+1	6/17
16	UCLAUCLA	10-3	597	0	18	+2	10/22
17	Oklahoma StateOkSt	10-3	587	0	13	-4	6/20
18	Texas A&MTexA&M	9-4	443	0	21	+3	6/25
19	Southern CaliforniaUSC	10-4	313	0	NR	+9	19/NR
20	Arizona StateAriSt	10-4	302	0	17	-3	13/NR
21	WisconsinWisc	9-4	266	0	19	-2	14/NR
22	DukeDuke	10-4	202	0	21	-1	20/NR
23	VanderbiltVandy	9-4	180	0	NR	+4	23/NR
24	Notre DameND	9-4	125	0	NR	+9	11/NR
