3	Sep 10, 2016	3:30 PM	Sat	Bowling Green	27		North Dakota	26	Doyt L. Perry Stadium - Bowling Green, Ohio	3	Sep 10, 2016	12:00 PM	Sat	Central Michigan	30	@	(22) Oklahoma State	27	Boone Pickens Stadium - Stillwater, Oklahoma	3	Sep 10, 2016	6:00 PM	Sat	Charlotte	47		Elon	14	Jerry Richardson Stadium - Charlotte, North Carolina	3	Sep 10, 2016	12:00 PM	Sat	Cincinnati	38	@	Purdue	20	Ross Ade Stadium - West Lafayette, Indiana	3	Sep 10, 2016	12:30 PM	Sat	(2) Clemson	30		Troy	24	Clemson Memorial Stadium - Clemson, South Carolina	3	Sep 10, 2016	5:30 PM	Sat	Colorado	56		Idaho State	7	Folsom Field - Boulder, Colorado	3	Sep 10, 2016	4:00 PM	Sat	Colorado State	23		Texas-San Antonio	14	Sonny Lubick Field at Hughes Stadium - Fort Collins, Colorado	3	Sep 10, 2016	12:00 PM	Sat	East Carolina	33		North Carolina State	30	Dowdy-Ficklen Stadium - Greenville, North Carolina	3	Sep 10, 2016	3:30 PM	Sat	Eastern Illinois	21	@	Miami (OH)	17	Fred Yager Stadium - Oxford, Ohio	3	Sep 10, 2016	3:30 PM	Sat	Florida	45		Kentucky	7	Ben Hill Griffin Stadium - Gainesville, Florida
3	Sep 10, 2016	12:30 PM	Sat	(3) Florida State	52		Charleston Southern	8	Doak Campbell Stadium - Tallahassee, Florida	3	Sep 10, 2016	10:00 PM	Sat	Fresno State	31		Sacramento State	3	Bulldog Stadium - Fresno, California	3	Sep 10, 2016	12:00 PM	Sat	(9) Georgia	26		Nicholls State	24	Sanford Stadium - Athens, Georgia	3	Sep 10, 2016	7:00 PM	Sat	Georgia Southern	24	@	South Alabama	9	Ladd-Peebles Stadium - Mobile, Alabama	3	Sep 10, 2016	3:00 PM	Sat	Georgia Tech	35		Mercer	10	Bobby Dodd Stadium - Atlanta, Georgia	3	Sep 10, 2016	11:59 PM	Sat	Hawaii	41		Tennessee-Martin	36	Hawaiian Tel Federal Credit Union Field at Aloha Stadium - Honolulu, Hawaii	3	Sep 10, 2016	12:00 PM	Sat	(6) Houston	42		Lamar	0	TDECU Stadium - Houston, Texas	3	Sep 10, 2016	3:30 PM	Sat	Illinois State	9	@	Northwestern	7	Ryan Field - Evanston, Illinois	3	Sep 10, 2016	4:00 PM	Sat	Indiana	30		Ball State	20	Memorial Stadium - Bloomington, Indiana	3	Sep 10, 2016	7:30 PM	Sat	(16) Iowa	42		Iowa State	3	Kinnick Stadium - Iowa City, Iowa
3	Sep 10, 2016	7:00 PM	Sat	Louisiana	30		McNeese State	22	Cajun Field - Lafayette, Louisiana	3	Sep 10, 2016	7:30 PM	Sat	(21) Louisiana State	34		Jacksonville State	13	Tiger Stadium - Baton Rouge, Louisiana	3	Sep 10, 2016	7:00 PM	Sat	Louisiana Tech	53		South Carolina State	24	Joe Aillet Stadium - Ruston, Louisiana	3	Sep 10, 2016	6:00 PM	Sat	Marshall	62		Morgan State	0	Joan C. Edwards Stadium - Huntington, West Virginia	3	Sep 10, 2016	6:00 PM	Sat	(25) Miami (FL)	38		Florida Atlantic	10	Hard Rock Stadium - Miami Gardens, Florida	3	Sep 10, 2016	12:00 PM	Sat	(5) Michigan	51		Central Florida	14	Michigan Stadium - Ann Arbor, Michigan	3	Sep 10, 2016	12:00 PM	Sat	Minnesota	58		Indiana State	28	TCF Bank Stadium - Minneapolis, Minnesota	3	Sep 10, 2016	4:00 PM	Sat	(19) Mississippi	38		Wofford	13	Vaught-Hemingway Stadium - Oxford, Mississippi	3	Sep 10, 2016	7:00 PM	Sat	Mississippi State	27		South Carolina	14	Davis Wade Stadium - Starkville, Mississippi	3	Sep 10, 2016	7:30 PM	Sat	Missouri	61		Eastern Michigan	21	Faurot Field - Columbia, Missouri
3	Sep 10, 2016	3:30 PM	Sat	Navy	28		Connecticut	24	Navy Marine Corps Memorial Stadium - Annapolis, Maryland	3	Sep 10, 2016	12:00 PM	Sat	Nebraska	52		Wyoming	17	Memorial Stadium - Lincoln, Nebraska	3	Sep 10, 2016	8:00 PM	Sat	New Mexico State	32		New Mexico	31	Aggie Memorial Stadium - Las Cruces, New Mexico	3	Sep 10, 2016	7:30 PM	Sat	North Carolina	48	@	Illinois	23	Memorial Stadium - Champaign, Illinois	3	Sep 10, 2016	6:00 PM	Sat	North Carolina A&T	39	@	Kent State	36	Dix Stadium - Kent, Ohio	3	Sep 10, 2016	7:00 PM	Sat	North Texas	41		Bethune-Cookman	20	Apogee Stadium - Denton, Texas	3	Sep 10, 2016	3:30 PM	Sat	(18) Notre Dame	39		Nevada	10	Notre Dame Stadium - South Bend, Indiana	3	Sep 10, 2016	2:30 PM	Sat	Ohio	37	@	Kansas	21	Memorial Stadium - Lawrence, Kansas	3	Sep 10, 2016	3:30 PM	Sat	(4) Ohio State	48		Tulsa	3	Ohio Stadium - Columbus, Ohio	3	Sep 10, 2016	7:00 PM	Sat	(14) Oklahoma	59		Louisiana-Monroe	17	Gaylord Family - Oklahoma Memorial Stadium - Norman, Oklahoma
3	Sep 10, 2016	10:30 PM	Sat	(24) Oregon	44		Virginia	26	Autzen Stadium - Eugene, Oregon	3	Sep 10, 2016	12:00 PM	Sat	Pittsburgh	42		Penn State	39	Heinz Field - Pittsburgh, Pennsylvania	3	Sep 10, 2016	12:00 PM	Sat	Rutgers	52		Howard	14	High Points Solutions Stadium - Piscataway, New Jersey	3	Sep 10, 2016	10:30 PM	Sat	San Diego State	45		California	40	Qualcomm Stadium - San Diego, California	3	Sep 10, 2016	4:30 PM	Sat	San Jose State	66		Portland State	35	CEFCU Stadium - San Jose, California	3	Sep 10, 2016	7:00 PM	Sat	South Florida	48		Northern Illinois	17	Raymond James Stadium - Tampa, Florida	3	Sep 10, 2016	2:00 PM	Sat	Southern California	45		Utah State	7	Los Angeles Memorial Coliseum - Los Angeles, California	3	Sep 10, 2016	7:00 PM	Sat	Southern Mississippi	56		Savannah State	0	M.M. Roberts Stadium - Hattiesburg, Mississippi	3	Sep 10, 2016	1:00 PM	Sat	Temple	38		Stony Brook	0	Lincoln Financial Field - Philadelphia, Pennsylvania	3	Sep 10, 2016	8:00 PM	Sat	(17) Tennessee	45	N	Virginia Tech	24	Bristol Motor Speedway - Bristol, Tennessee
3	Sep 10, 2016	7:00 PM	Sat	(11) Texas	41		Texas-El Paso	7	Darrell K Royal-Texas Memorial Stadium - Austin, Texas	3	Sep 10, 2016	12:00 PM	Sat	(20) Texas A&M	67		Prairie View A&M	0	Kyle Field - College Station, Texas	3	Sep 10, 2016	7:00 PM	Sat	Toledo	45		Maine	3	Glass Bowl - Toledo, Ohio	3	Sep 10, 2016	8:00 PM	Sat	Tulane	66		Southern	21	Yulman Stadium - New Orleans, Louisiana	3	Sep 10, 2016	8:00 PM	Sat	UCLA	42		Nevada-Las Vegas	21	Rose Bowl - Pasadena, California	3	Sep 10, 2016	7:30 PM	Sat	Utah	20		Brigham Young	19	Rice-Eccles Stadium - Salt Lake City, Utah	3	Sep 10, 2016	4:00 PM	Sat	Vanderbilt	47		Middle Tennessee State	24	Vanderbilt Stadium - Nashville, Tennessee	3	Sep 10, 2016	3:30 PM	Sat	Wake Forest	24	@	Duke	14	Wallace Wade Stadium - Durham, North Carolina	3	Sep 10, 2016	5:00 PM	Sat	(8) Washington	59		Idaho	14	Husky Stadium - Seattle, Washington	3	Sep 10, 2016	2:00 PM	Sat	West Virginia	38		Youngstown State	21	Milan Puskar Stadium - Morgantown, West Virginia
3	Sep 10, 2016	7:00 PM	Sat	Western Michigan	70		North Carolina Central	21	Waldo Stadium - Kalamazoo, Michigan	3	Sep 10, 2016	3:30 PM	Sat	(10) Wisconsin	54		Akron	10	Camp Randall Stadium - Madison, Wisconsin	4	Sep 15, 2016	7:30 PM	Thu	(6) Houston	40	@	Cincinnati	16	Nippert Stadium - Cincinnati, Ohio	4	Sep 16, 2016	9:30 PM	Fri	Arizona State	32	@	Texas-San Antonio	28	Alamodome - San Antonio, Texas	4	Sep 16, 2016	8:00 PM	Fri	(21) Baylor	38	@	Rice	10	Rice Stadium - Houston, Texas	4	Sep 16, 2016	9:00 PM	Fri	Utah State	34		Arkansas State	20	Merlin Olsen Field at Maverik Stadium - Logan, Utah	4	Sep 17, 2016	12:00 PM	Sat	Akron	65	@	Marshall	38	Joan C. Edwards Stadium - Huntington, West Virginia	4	Sep 17, 2016	3:30 PM	Sat	(1) Alabama	48	@	(19) Mississippi	43	Vaught-Hemingway Stadium - Oxford, Mississippi	4	Sep 17, 2016	10:45 PM	Sat	Arizona	47		Hawaii	28	Arizona Stadium - Tucson, Arizona	4	Sep 17, 2016	7:30 PM	Sat	(24) Arkansas	42		Texas State	3	Donald W. Reynolds Razorback Stadium - Fayetteville, Arkansas
4	Sep 17, 2016		Sat	Army	66	@	Texas-El Paso	14	Sun Bowl Stadium - El Paso, Texas	4	Sep 17, 2016	3:00 PM	Sat	Ball State	41		Eastern Kentucky	14	Scheumann Stadium - Muncie, Indiana	4	Sep 17, 2016	10:30 PM	Sat	California	50		(11) Texas	43	Memorial Stadium - Berkeley, California	4	Sep 17, 2016	3:00 PM	Sat	Central Michigan	44		Nevada-Las Vegas	21	Kelly/Shorts Stadium - Mount Pleasant, Michigan	4	Sep 17, 2016	12:00 PM	Sat	(5) Clemson	59		South Carolina State	0	Clemson Memorial Stadium - Clemson, South Carolina	4	Sep 17, 2016	4:00 PM	Sat	Colorado State	47		Northern Colorado	21	Sonny Lubick Field at Hughes Stadium - Fort Collins, Colorado	4	Sep 17, 2016	1:30 PM	Sat	Connecticut	13		Virginia	10	Rentschler Field - East Hartford, Connecticut	4	Sep 17, 2016	6:00 PM	Sat	Eastern Michigan	37	@	Charlotte	19	Jerry Richardson Stadium - Charlotte, North Carolina	4	Sep 17, 2016	7:30 PM	Sat	(23) Florida	32		North Texas	0	Ben Hill Griffin Stadium - Gainesville, Florida	4	Sep 17, 2016	7:30 PM	Sat	(16) Georgia	28	@	Missouri	27	Faurot Field - Columbia, Missouri
4	Sep 17, 2016	6:00 PM	Sat	Georgia Southern	23		Louisiana-Monroe	21	Allen E. Paulson Stadium - Statesboro, Georgia	4	Sep 17, 2016	12:30 PM	Sat	Georgia Tech	38		Vanderbilt	7	Bobby Dodd Stadium - Atlanta, Georgia	4	Sep 17, 2016	2:30 PM	Sat	Kansas State	63		Florida Atlantic	7	Bill Snyder Family Football Stadium - Manhattan, Kansas	4	Sep 17, 2016	3:30 PM	Sat	Kent State	27		Monmouth	7	Dix Stadium - Kent, Ohio	4	Sep 17, 2016	4:00 PM	Sat	Kentucky	62		New Mexico State	42	Commonwealth Stadium - Lexington, Kentucky	4	Sep 17, 2016	7:00 PM	Sat	Louisiana	28		South Alabama	23	Cajun Field - Lafayette, Louisiana	4	Sep 17, 2016	7:00 PM	Sat	(20) Louisiana State	23		Mississippi State	20	Tiger Stadium - Baton Rouge, Louisiana	4	Sep 17, 2016	12:00 PM	Sat	(10) Louisville	63		(2) Florida State	20	Papa John's Cardinal Stadium - Louisville, Kentucky	4	Sep 17, 2016	7:00 PM	Sat	Maryland	30	@	Central Florida	24	Bright House Networks Stadium - Orlando, Florida	4	Sep 17, 2016	3:30 PM	Sat	Massachusetts	21		Florida International	13	Warren McGuirk Alumni Stadium - Amherst, Massachusetts
4	Sep 17, 2016	12:00 PM	Sat	Memphis	43		Kansas	7	Liberty Bowl Memorial Stadium - Memphis, Tennessee	4	Sep 17, 2016	12:00 PM	Sat	(25) Miami (FL)	45	@	Appalachian State	10	Kidd Brewer Stadium - Boone, North Carolina	4	Sep 17, 2016	3:30 PM	Sat	(4) Michigan	45		Colorado	28	Michigan Stadium - Ann Arbor, Michigan	4	Sep 17, 2016	7:30 PM	Sat	(12) Michigan State	36	@	(18) Notre Dame	28	Notre Dame Stadium - South Bend, Indiana	4	Sep 17, 2016	12:00 PM	Sat	Middle Tennessee State	41	@	Bowling Green	21	Doyt L. Perry Stadium - Bowling Green, Ohio	4	Sep 17, 2016	7:00 PM	Sat	Navy	21	@	Tulane	14	Yulman Stadium - New Orleans, Louisiana	4	Sep 17, 2016	3:30 PM	Sat	Nebraska	35		(22) Oregon	32	Memorial Stadium - Lincoln, Nebraska	4	Sep 17, 2016	9:00 PM	Sat	Nevada	38		Buffalo	14	MacKay Stadium - Reno, Nevada	4	Sep 17, 2016	3:30 PM	Sat	North Carolina	56		James Madison	28	Kenan Memorial Stadium - Chapel Hill, North Carolina	4	Sep 17, 2016	6:00 PM	Sat	North Carolina State	49		Old Dominion	22	Carter Finley Stadium - Raleigh, North Carolina
