1	Alabama	14-1	1525	-	vs #2ClemsonW45-40	-
2	Clemson	14-1	1464	-	vs #1AlabamaL45-40	-
3	Stanford	12-2	1360	-	vs #9IowaW45-16	-
4	Ohio State	12-1	1342	-	vs #11Notre DameW44-28	-
5	Oklahoma	11-2	1270	-	vs #2ClemsonL37-17	-
6	Michigan State	12-2	1227	-	vs #1AlabamaL38-0	-
7	TCU	11-2	1098	-	vs #19OregonW47-41	-
8	Houston	13-1	1050	-	vs #14Florida StateW38-24	-
9	Iowa	12-2	981	-	vs #3StanfordL45-16	-
10	Ole Miss	10-3	975	-	vs #20Oklahoma StateW48-20	-
11	Notre Dame	10-3	953	-	vs #4Ohio StateL44-28	-
12	Michigan	10-3	911	-	vs #25FloridaW41-7	-
13	Baylor	10-3	820	-	vs #15North CarolinaW49-38	-
14	Florida State	10-3	630	-	vs #8HoustonL38-24	-
15	North Carolina	11-3	563	-	vs #13BaylorL49-38	-
16	LSU	9-3	546	-	vsTexas TechW56-27	-
17	Utah	10-3	499	-	vsBYUW35-28	-
18	Navy	11-2	465	-	vsPittsburghW44-28	-
19	Oregon	9-4	391	-	vs #7TCUL47-41	-
20	Oklahoma State	10-3	372	-	vs #10Ole MissL48-20	-
21	Wisconsin	10-3	332	-	vsUSCW23-21	-
22	Tennessee	9-4	260	NR	vs #23NorthwesternW45-6	-
23	Northwestern	10-3	203	-	vs #22TennesseeL45-6	-
24	Western Kentucky	12-2	128	-	vsSouth FloridaW45-35	-
