1	Georgia	15-0	1575	-	vs #2TCUW65-7	-
2	TCU	13-2	1484	-	vs #1GeorgiaL65-7	-
3	Michigan	13-1	1438	-	vs #2TCUL51-45	-
4	Ohio State	11-2	1394	-	vs #1GeorgiaL42-41	-
5	Alabama	11-2	1303	-	vs #14Kansas StateW45-20	-
6	Tennessee	11-2	1294	-	vs #13ClemsonW31-14	-
7	Penn State	11-2	1200	-	vs #10UtahW35-21	-
8	Washington	11-2	1097	-	vs #25TexasW27-20	-
9	Tulane	12-2	1025	-	vs #12USCW46-45	-
10	Utah	10-4	876	-	vs #7Penn StateL35-21	-
11	Florida State	10-3	814	-	vsOklahomaW35-32	-
12	USC	11-3	795	-	vs #9TulaneL46-45	-
13	Clemson	11-3	791	-	vs #6TennesseeL31-14	-
14	Kansas State	10-4	784	-	vs #5AlabamaL45-20	-
15	Oregon	10-3	758	-	vsNorth CarolinaW28-27	-
16	LSU	10-4	757	-	vsPurdueW63-7	-
17	Oregon State	10-3	742	-	vsFloridaW30-3	-
18	Notre Dame	9-4	535	-	vs #23South CarolinaW45-38	-
19	Troy	12-2	322	-	vsUTSAW18-12	-
20	Mississippi State	9-4	320	-	vsIllinoisW19-10	-
21	UCLA	9-4	243	-	vs #22PittsburghL37-35	-
22	Pittsburgh	9-4	233	NR	vs #21UCLAW37-35	-
23	South Carolina	8-5	180	-	vs #18Notre DameL45-38	-
24	Fresno State	10-4	164	NR	vsWashington StateW29-6	-
