,Random Walk,Elo,Bradley-Terry,TTU,AP Poll
Random Walk,0.0,0.551708217913204,0.6710526315789473,0.32,0.19444444444444445
Elo,0.551708217913204,0.0,0.5896429670667898,-0.12,0.5555555555555556
Bradley-Terry,0.6710526315789473,0.5896429670667898,0.0,0.0,0.5555555555555556
TTU,0.32,-0.12,0.0,0.0,-0.24
AP Poll,0.19444444444444445,0.5555555555555556,0.5555555555555556,-0.24,0.0
