1	AlabamaAla	12-1	1475	59	2	+1	1/4
2	Louisiana StateLSU	13-1	1404	0	1	-1	1/4
3	Oklahoma StateOkSt	12-1	1367	0	3	-	2/8
4	OregonOregon	12-2	1290	0	5	+1	3/14
5	ArkansasArk	11-2	1188	0	7	+2	3/18
6	Boise StateBoise	12-1	1162	0	6	-	4/11
7	StanfordStan	11-2	1106	0	4	-3	2/9
8	South CarolinaSCar	11-2	1084	0	9	+1	8/15
9	MichiganMich	11-2	925	0	12	+3	9/NR
10	Michigan StateMSU	11-3	912	0	13	+3	9/25
11	WisconsinWisc	11-3	911	0	8	-3	4/17
12	BaylorBaylor	10-3	775	0	16	+4	12/NR
13	Texas ChristianTCU	11-2	710	0	15	+2	13/NR
14	HoustonHou	13-1	673	0	17	+3	6/NR
15	OklahomaOkla	10-3	610	0	19	+4	1/19
16	Kansas StateKanSt	10-3	602	0	10	-6	10/NR
17	Virginia TechVaTech	11-3	574	0	11	-6	3/17
18	West VirginiaWVU	10-3	554	0	22	+4	14/NR
19	Southern MississippiSouMis	12-2	429	0	21	+2	19/NR
20	GeorgiaUGa	10-4	345	0	18	-2	14/NR
21	CincinnatiCin	10-3	248	0	24	+3	18/NR
22	ClemsonClem	10-4	237	0	14	-8	6/NR
23	Florida StateFlaSt	9-4	205	0	25	+2	4/NR
24	NebraskaNeb	9-4	144	0	20	-4	8/24
