1	Aug 30, 2012	Thu	Arizona State	63		Northern Arizona	6	
1	Aug 30, 2012	Thu	Ball State	37		Eastern Michigan	26	
1	Aug 30, 2012	Thu	Brigham Young	30		Washington State	6	
1	Aug 30, 2012	Thu	Central Florida	56	@	Akron	14	
1	Aug 30, 2012	Thu	Central Michigan	38		Southeast Missouri State	27	
1	Aug 30, 2012	Thu	Connecticut	37		Massachusetts	0	
1	Aug 30, 2012	Thu	Eastern Washington	20	@	Idaho	3	
1	Aug 30, 2012	Thu	Kent State	41		Towson	21	
1	Aug 30, 2012	Thu	McNeese State	27	@	Middle Tennessee State	21	
1	Aug 30, 2012	Thu	Minnesota	30	@	Nevada-Las Vegas	27	
1	Aug 30, 2012	Thu	New Mexico State	49		Sacramento State	19	
1	Aug 30, 2012	Thu	(9) South Carolina	17	@	Vanderbilt	13	
1	Aug 30, 2012	Thu	UCLA	49	@	Rice	24	
1	Aug 30, 2012	Thu	Utah	41		Northern Colorado	0	
1	Aug 30, 2012	Thu	Utah State	34		Southern Utah	3	
1	Aug 31, 2012	Fri	Florida Atlantic	7		Wagner	3	
1	Aug 31, 2012	Fri	(13) Michigan State	17		(24) Boise State	13	
1	Aug 31, 2012	Fri	(21) Stanford	20		San Jose State	17	
1	Aug 31, 2012	Fri	Temple	41		Villanova	10	
1	Aug 31, 2012	Fri	Tennessee	35	N	North Carolina State	21	
1	Sep 1, 2012	Sat	Air Force	49		Idaho State	21	
1	Sep 1, 2012	Sat	(2) Alabama	41	N	(8) Michigan	14	
1	Sep 1, 2012	Sat	Arizona	24		Toledo	17	
1	Sep 1, 2012	Sat	(10) Arkansas	49		Jacksonville State	24	
1	Sep 1, 2012	Sat	(14) Clemson	26	N	Auburn	19	
1	Sep 1, 2012	Sat	Colorado State	22	N	Colorado	17	
1	Sep 1, 2012	Sat	Duke	46		Florida International	26	
1	Sep 1, 2012	Sat	East Carolina	35		Appalachian State	13	
1	Sep 1, 2012	Sat	(23) Florida	27		Bowling Green	14	
1	Sep 1, 2012	Sat	(7) Florida State	69		Murray State	3	
1	Sep 1, 2012	Sat	Fresno State	37		Weber State	10	
1	Sep 1, 2012	Sat	(6) Georgia	45		Buffalo	23	
1	Sep 1, 2012	Sat	Illinois	24		Western Michigan	7	
1	Sep 1, 2012	Sat	Indiana	24		Indiana State	17	
1	Sep 1, 2012	Sat	Iowa	18	@	Northern Illinois	17	
1	Sep 1, 2012	Sat	Iowa State	38		Tulsa	23	
1	Sep 1, 2012	Sat	Kansas	31		South Dakota State	17	
1	Sep 1, 2012	Sat	(22) Kansas State	51		Missouri State	9	
1	Sep 1, 2012	Sat	Louisiana	40		Lamar	0	
