1	Louisiana StateLSU	12-2	1500	60	2	+1	1/7
2	Southern CaliforniaUSC	11-2	1380	0	6	+4	1/15
3	GeorgiaUGa	11-2	1370	0	4	+1	3/25
4	Ohio StateOhioSt	11-2	1287	0	1	-3	1/11
5	MissouriMissou	12-2	1241	0	7	+2	2/NR
6	West VirginiaWVU	11-2	1239	0	9	+3	1/12
7	KansasKansas	12-1	1217	0	8	+1	2/NR
8	OklahomaOkla	11-3	1016	0	3	-5	3/10
9	Virginia TechVaTech	11-3	979	0	5	-4	5/17
10	TexasTex	10-3	924	0	17	+7	4/22
11	Boston CollegeBC	11-3	898	0	14	+3	2/NR
12	TennesseeTenn	10-4	826	0	18	+6	12/NR
13	Arizona StateAriSt	10-3	635	0	11	-2	6/NR
14	AuburnAuburn	9-4	624	0	21	+7	13/NR
14	Brigham YoungBYU	11-2	624	0	19	+5	14/NR
16	FloridaFla	9-4	567	0	12	-4	3/18
17	HawaiiHawaii	12-1	427	0	10	-7	10/24
18	IllinoisIll	9-4	416	0	13	-5	13/NR
19	MichiganMich	9-4	413	0	NR	+12	5/NR
20	CincinnatiCin	10-3	376	0	23	+3	17/NR
21	WisconsinWisc	9-4	333	0	15	-6	5/NR
22	ClemsonClem	9-4	319	0	16	-6	13/NR
23	Texas TechTxTch	9-4	242	0	NR	+3	21/NR
24	OregonOregon	9-4	192	0	NR	+9	2/NR
