1	ClemsonClem	15-0	1600	64	2	+1	1/4
2	AlabamaAla	14-1	1536	0	1	-1	1/2
3	Ohio StateOhioSt	13-1	1437	0	5	+2	2/10
4	OklahomaOkla	12-2	1415	0	4	-	4/11
5	Notre DameND	12-1	1316	0	3	-2	3/11
6	FloridaFla	10-3	1192	0	10	+4	6/NR
7	Louisiana StateLSU	10-3	1186	0	11	+4	4/24
8	GeorgiaUGa	11-3	1147	0	6	-2	2/8
9	TexasTex	10-4	1093	0	14	+5	7/NR
10	Washington StateWashSt	11-2	1007	0	13	+3	7/NR
11	KentuckyKty	10-3	945	0	15	+4	11/NR
12	Central FloridaUCF	12-1	876	0	7	-5	7/23
13	WashingtonWash	10-4	807	0	9	-4	6/19
14	MichiganMich	10-3	780	0	8	-6	4/22
15	SyracuseSyr	10-3	720	0	17	+2	12/NR
16	Texas A&MTexA&M	9-4	625	0	20	+4	16/NR
17	Penn StatePSU	9-4	581	0	12	-5	8/20
18	Fresno StateFres	12-2	497	0	21	+3	17/NR
19	NorthwesternNW	9-5	375	0	22	+3	19/NR
20	ArmyArmy	11-2	333	0	25	+5	20/NR
21	Utah StateUtahSt	11-2	252	0	23	+2	13/NR
22	West VirginiaWVU	8-4	235	0	16	-6	6/22
23	CincinnatiCin	11-2	186	0	NR	+5	20/NR
24	Boise StateBoise	10-3	165	0	24	-	17/NR
