2	Sep 12, 2009	Sat	Colorado State	24		Weber State	23	
2	Sep 12, 2009	Sat	Duke	35	@	Army	19	
2	Sep 12, 2009	Sat	(1) Florida	56		Troy	6	
2	Sep 12, 2009	Sat	Florida State	19		Jacksonville State	9	
2	Sep 12, 2009	Sat	(21) Georgia	41		South Carolina	37	
2	Sep 12, 2009	Sat	Hawaii	38	@	Washington State	20	
2	Sep 12, 2009	Sat	Houston	45	@	(5) Oklahoma State	35	
2	Sep 12, 2009	Sat	Illinois	45		Illinois State	17	
2	Sep 12, 2009	Sat	Indiana	23		Western Michigan	19	
2	Sep 12, 2009	Sat	Iowa	35	@	Iowa State	3	
2	Sep 12, 2009	Sat	(24) Kansas	34	@	Texas-El Paso	7	
2	Sep 12, 2009	Sat	Louisiana	17		Kansas State	15	
2	Sep 12, 2009	Sat	(11) Louisiana State	23		Vanderbilt	9	
2	Sep 12, 2009	Sat	Louisiana-Monroe	58		Texas Southern	0	
2	Sep 12, 2009	Sat	Maryland	38		James Madison	35	
2	Sep 12, 2009	Sat	Michigan	38		(18) Notre Dame	34	
2	Sep 12, 2009	Sat	Middle Tennessee State	31		Memphis	14	
2	Sep 12, 2009	Sat	Minnesota	20		Air Force	13	
2	Sep 12, 2009	Sat	(25) Missouri	27		Bowling Green	20	
2	Sep 12, 2009	Sat	Navy	32		Louisiana Tech	14	
2	Sep 12, 2009	Sat	(22) Nebraska	38		Arkansas State	9	
2	Sep 12, 2009	Sat	New Hampshire	23	@	Ball State	16	
2	Sep 12, 2009	Sat	New Mexico State	21		Prairie View A&M	18	
2	Sep 12, 2009	Sat	(19) North Carolina	12	@	Connecticut	10	
2	Sep 12, 2009	Sat	North Carolina State	65		Murray State	7	
2	Sep 12, 2009	Sat	Northern Illinois	41		Western Illinois	7	
2	Sep 12, 2009	Sat	Northwestern	27		Eastern Michigan	24	
2	Sep 12, 2009	Sat	Ohio	31	@	North Texas	30	
2	Sep 12, 2009	Sat	(13) Oklahoma	64		Idaho State	0	
2	Sep 12, 2009	Sat	Oregon	38		Purdue	36	
2	Sep 12, 2009	Sat	Oregon State	23	@	Nevada-Las Vegas	21	
2	Sep 12, 2009	Sat	(7) Penn State	28		Syracuse	7	
2	Sep 12, 2009	Sat	Pittsburgh	54	@	Buffalo	27	
2	Sep 12, 2009	Sat	Rutgers	45		Howard	7	
2	Sep 12, 2009	Sat	San Diego State	35		Southern Utah	19	
2	Sep 12, 2009	Sat	South Florida	35	@	Western Kentucky	13	
2	Sep 12, 2009	Sat	(3) Southern California	18	@	(8) Ohio State	15	
2	Sep 12, 2009	Sat	Southern Methodist	35	@	Alabama-Birmingham	33	
2	Sep 12, 2009	Sat	Southern Mississippi	26		Central Florida	19	
2	Sep 12, 2009	Sat	(2) Texas	41	@	Wyoming	10	
2	Sep 12, 2009	Sat	(16) Texas Christian	30	@	Virginia	14	
2	Sep 12, 2009	Sat	Texas Tech	55		Rice	10	
2	Sep 12, 2009	Sat	Tulsa	44	@	New Mexico	10	
2	Sep 12, 2009	Sat	UCLA	19	@	Tennessee	15	
2	Sep 12, 2009	Sat	(17) Utah	24	@	San Jose State	14	
2	Sep 12, 2009	Sat	(14) Virginia Tech	52		Marshall	10	
2	Sep 12, 2009	Sat	Wake Forest	24		Stanford	17	
2	Sep 12, 2009	Sat	Washington	42		Idaho	23	
2	Sep 12, 2009	Sat	West Virginia	35		East Carolina	20	
2	Sep 12, 2009	Sat	Wisconsin	34		Fresno State	31	
3	Sep 17, 2009	Thu	(20) Miami (FL)	33		(14) Georgia Tech	17	
3	Sep 18, 2009	Fri	(10) Boise State	51	@	Fresno State	34	
3	Sep 19, 2009	Sat	Air Force	37	@	New Mexico	13	
3	Sep 19, 2009	Sat	(4) Alabama	53		North Texas	7	
3	Sep 19, 2009	Sat	Arizona State	38		Louisiana-Monroe	14	
3	Sep 19, 2009	Sat	Army	24		Ball State	17	
3	Sep 19, 2009	Sat	Auburn	41		West Virginia	30	
3	Sep 19, 2009	Sat	(8) California	35	@	Minnesota	21	
3	Sep 19, 2009	Sat	Central Arkansas	28	@	Western Kentucky	7	
3	Sep 19, 2009	Sat	Central Florida	23		Buffalo	17	
3	Sep 19, 2009	Sat	Central Michigan	48		Alcorn State	0	
3	Sep 19, 2009	Sat	(17) Cincinnati	28	@	Oregon State	18	
3	Sep 19, 2009	Sat	Clemson	25		Boston College	7	
3	Sep 19, 2009	Sat	Colorado	24		Wyoming	0	
3	Sep 19, 2009	Sat	Colorado State	35		Nevada	20	
3	Sep 19, 2009	Sat	Connecticut	30	@	Baylor	22	
3	Sep 19, 2009	Sat	(1) Florida	23		Tennessee	13	
3	Sep 19, 2009	Sat	Florida State	54	@	(7) Brigham Young	28	
3	Sep 19, 2009	Sat	(23) Georgia	52	@	Arkansas	41	
3	Sep 19, 2009	Sat	Idaho	34		San Diego State	20	
3	Sep 19, 2009	Sat	Indiana	38	@	Akron	21	
3	Sep 19, 2009	Sat	Iowa	27		Arizona	17	
3	Sep 19, 2009	Sat	Iowa State	34	@	Kent State	14	
3	Sep 19, 2009	Sat	(22) Kansas	44		Duke	16	
3	Sep 19, 2009	Sat	Kentucky	31		Louisville	27	
3	Sep 19, 2009	Sat	(9) Louisiana State	31		Louisiana	3	
3	Sep 19, 2009	Sat	Louisiana Tech	48		Nicholls State	13	
3	Sep 19, 2009	Sat	Marshall	17		Bowling Green	10	
3	Sep 19, 2009	Sat	Memphis	41		Tennessee-Martin	14	
3	Sep 19, 2009	Sat	(25) Michigan	45		Eastern Michigan	17	
3	Sep 19, 2009	Sat	Middle Tennessee State	32	@	Maryland	31	
3	Sep 19, 2009	Sat	(5) Mississippi	52		Southeastern Louisiana	6	
3	Sep 19, 2009	Sat	Mississippi State	15	@	Vanderbilt	3	
3	Sep 19, 2009	Sat	Missouri	52		Furman	12	
3	Sep 19, 2009	Sat	Nevada-Las Vegas	34		Hawaii	33	
3	Sep 19, 2009	Sat	(24) North Carolina	31		East Carolina	17	
3	Sep 19, 2009	Sat	North Carolina State	45		Gardner-Webb	14	
3	Sep 19, 2009	Sat	Northern Illinois	28	@	Purdue	21	
3	Sep 19, 2009	Sat	Notre Dame	33		Michigan State	30	
3	Sep 19, 2009	Sat	Ohio	28		Cal Poly	10	
3	Sep 19, 2009	Sat	(11) Ohio State	38	N	Toledo	0	FirstEnergy Stadium - Cleveland, Ohio
3	Sep 19, 2009	Sat	(11) Ohio State	38	N	Toledo	0	
3	Sep 19, 2009	Sat	(12) Oklahoma	45		Tulsa	0	
3	Sep 19, 2009	Sat	(16) Oklahoma State	41		Rice	24	
3	Sep 19, 2009	Sat	Oregon	31		(18) Utah	24	
3	Sep 19, 2009	Sat	(5) Penn State	31		Temple	6	
3	Sep 19, 2009	Sat	Pittsburgh	27		Navy	14	
3	Sep 19, 2009	Sat	Rutgers	23		Florida International	15	
3	Sep 19, 2009	Sat	South Carolina	38		Florida Atlantic	16	
3	Sep 19, 2009	Sat	South Florida	59		Charleston Southern	0	
3	Sep 19, 2009	Sat	Southern Mississippi	37		Virginia	34	
3	Sep 19, 2009	Sat	Stanford	42		San Jose State	17	
3	Sep 19, 2009	Sat	Syracuse	37		Northwestern	34	
3	Sep 19, 2009	Sat	(2) Texas	34		Texas Tech	24	
3	Sep 19, 2009	Sat	Texas A&M	38		Utah State	30	
3	Sep 19, 2009	Sat	(15) Texas Christian	56		Texas State	21	
3	Sep 19, 2009	Sat	Texas-El Paso	38	@	New Mexico State	12	
3	Sep 19, 2009	Sat	Troy	27		Alabama-Birmingham	14	
3	Sep 19, 2009	Sat	UCLA	23		Kansas State	9	
3	Sep 19, 2009	Sat	(13) Virginia Tech	16		(19) Nebraska	15	
3	Sep 19, 2009	Sat	Wake Forest	35		Elon	7	
3	Sep 19, 2009	Sat	Washington	16		(3) Southern California	13	
3	Sep 19, 2009	Sat	Washington State	30		Southern Methodist	27	
3	Sep 19, 2009	Sat	Western Michigan	48		Miami (OH)	26	
3	Sep 19, 2009	Sat	Wisconsin	44		Wofford	14	
4	Sep 24, 2009	Thu	South Carolina	16		(4) Mississippi	10	
4	Sep 25, 2009	Fri	Missouri	31	@	Nevada	21	
4	Sep 26, 2009	Sat	Air Force	26		San Diego State	14	
4	Sep 26, 2009	Sat	(3) Alabama	35		Arkansas	7	
4	Sep 26, 2009	Sat	Arizona	37	@	Oregon State	32	
4	Sep 26, 2009	Sat	Auburn	54		Ball State	30	
4	Sep 26, 2009	Sat	Baylor	68		Northwestern State	13	
4	Sep 26, 2009	Sat	(8) Boise State	49	@	Bowling Green	14	
4	Sep 26, 2009	Sat	Boston College	27		Wake Forest	24	
4	Sep 26, 2009	Sat	(19) Brigham Young	42		Colorado State	23	
4	Sep 26, 2009	Sat	Central Michigan	48		Akron	21	
4	Sep 26, 2009	Sat	(14) Cincinnati	28		Fresno State	20	
