1	AlabamaAla	14-1	1400	56	2	+1	1/13
2	ClemsonClem	14-1	1344	0	1	-1	1/12
3	StanfordStan	12-2	1235	0	6	+3	3/NR
4	Ohio StateOhioSt	12-1	1231	0	5	+1	1/8
5	OklahomaOkla	11-2	1172	0	3	-2	3/19
6	Michigan StateMSU	12-2	1121	0	4	-2	2/14
7	Texas ChristianTCU	11-2	1020	0	10	+3	2/16
8	HoustonHou	13-1	928	0	16	+8	8/NR
9	MississippiMiss	10-3	919	0	15	+6	5/NR
10	IowaIowa	12-2	862	0	7	-3	3/NR
11	MichiganMich	10-3	812	0	17	+6	11/NR
12	Notre DameND	10-3	781	0	9	-3	4/15
13	BaylorBaylor	10-3	763	0	19	+6	2/19
14	Florida StateFlaSt	10-3	645	0	8	-6	6/18
15	North CarolinaUNC	11-3	543	0	11	-4	8/NR
16	UtahUtah	10-3	499	0	20	+4	7/NR
17	Louisiana StateLSU	9-3	485	0	21	+4	4/NR
18	NavyNavy	11-2	402	0	22	+4	15/NR
19	Oklahoma StateOkSt	10-3	392	0	13	-6	4/NR
20	OregonOregon	9-4	356	0	14	-6	5/NR
21	WisconsinWisc	10-3	307	0	23	+2	18/NR
22	NorthwesternNW	10-3	207	0	12	-10	12/NR
23	TennesseeTenn	9-4	190	0	NR	+6	23/NR
24	GeorgiaUGa	10-3	173	0	25	+1	6/NR
