,Random Walk,Elo,Bradley-Terry,TTU,AP Poll
Random Walk,0.0,0.7522682010414337,0.8711319591323885,0.042499798771465355,0.19806239677610227
Elo,0.7522682010414337,0.0,0.768770559606025,0.07676101990066042,0.19790819234411045
Bradley-Terry,0.8711319591323885,0.768770559606025,0.0,-0.03597975099113675,0.1579576315884804
TTU,0.042499798771465355,0.07676101990066042,-0.03597975099113675,0.0,-0.2509368201718893
AP Poll,0.19806239677610227,0.19790819234411045,0.1579576315884804,-0.2509368201718893,0.0
