1	Clemson	15-0	1525	-	vs #2AlabamaW44-16	-
2	Alabama	14-1	1462	-	vs #1ClemsonL44-16	-
3	Ohio State	13-1	1364	-	vs #13WashingtonW28-23	-
4	Oklahoma	12-2	1356	-	vs #2AlabamaL45-34	-
5	Notre Dame	12-1	1286	-	vs #1ClemsonL30-3	-
6	LSU	10-3	1119	-	vs #11UCFW40-32	-
7	Florida	10-3	1103	-	vs #14MichiganW41-15	-
	Georgia	11-3	1103	-	vs #9TexasL28-21	-
9	Texas	10-4	1076	-	vs #7GeorgiaW28-21	-
10	Washington State	11-2	959	-	vsIowa StateW28-26	-
11	UCF	12-1	898	-	vs #6LSUL40-32	-
12	Kentucky	10-3	820	-	vs #17Penn StateW27-24	-
13	Washington	10-4	806	-	vs #3Ohio StateL28-23	-
14	Michigan	10-3	745	-	vs #7FloridaL41-15	-
15	Syracuse	10-3	683	-	vs #20West VirginiaW34-18	-
16	Texas A&M	9-4	552	-	vsNC StateW52-13	-
17	Penn State	9-4	492	-	vs #12KentuckyL27-24	-
18	Fresno State	12-2	466	-	vsArizona StateW31-20	-
19	Army	11-2	418	-	vsHoustonW70-14	-
20	West Virginia	8-4	296	-	vs #15SyracuseL34-18	-
21	Northwestern	9-5	284	NR	vsUtahW31-20	-
22	Utah State	11-2	188	NR	vsNorth TexasW52-13	-
23	Boise State	10-3	184	-	-	-
24	Cincinnati	11-2	171	NR	vsVirginia TechW35-31	-
