1	ClemsonClem	14-1	1500	60	3	+2	1/5
2	AlabamaAla	14-1	1440	0	1	-1	1/2
3	OklahomaOkla	11-2	1308	0	7	+4	3/NR
4	WashingtonWash	12-2	1265	0	4	-	4/18
5	Southern CaliforniaUSC	10-3	1263	0	9	+4	5/NR
6	Ohio StateOhioSt	11-2	1186	0	2	-4	2/8
7	Penn StatePSU	11-3	1123	0	5	-2	5/NR
8	Florida StateFlaSt	10-3	1102	0	10	+2	2/21
9	WisconsinWisc	11-3	1044	0	8	-1	5/NR
10	MichiganMich	10-3	986	0	6	-4	2/10
11	Oklahoma StateOkSt	10-3	922	0	13	+2	10/NR
12	StanfordStan	10-3	791	0	16	+4	5/NR
13	FloridaFla	9-4	673	0	18	+5	9/25
14	Louisiana StateLSU	8-4	641	0	20	+6	6/NR
15	ColoradoColo	10-4	634	0	11	-4	9/NR
16	Virginia TechVaTech	10-4	632	0	19	+3	16/NR
17	West VirginiaWVU	10-3	522	0	12	-5	9/NR
18	Western MichiganWestMI	13-1	449	0	14	-4	14/NR
19	South FloridaUSF	11-2	362	0	22	+3	19/NR
20	LouisvilleLou	9-4	338	0	15	-5	3/23
21	UtahUtah	9-4	303	0	23	+2	11/NR
22	AuburnAuburn	8-5	230	0	17	-5	8/NR
23	MiamiMia-Fl	9-4	229	0	NR	+11	10/NR
24	TennesseeTenn	9-4	211	0	NR	+8	9/NR
