1	AlabamaAla	13-0	1500	60	1	-	1/3
2	Ohio StateOhioSt	7-1	1432	0	3	+1	2/10
3	ClemsonClem	10-2	1349	0	2	-1	1/4
4	Texas A&MTexA&M	9-1	1317	0	5	+1	4/20
5	Notre DameND	10-2	1247	0	4	-1	2/10
6	OklahomaOkla	9-2	1219	0	7	+1	3/NR
7	GeorgiaUGa	8-2	1146	0	9	+2	3/11
8	CincinnatiCin	9-1	1031	0	6	-2	6/22
9	Iowa StateIaSt	9-3	997	0	12	+3	8/NR
10	NorthwesternNW	7-2	919	0	13	+3	10/NR
11	Brigham YoungBYU	11-1	796	0	15	+4	8/23
12	FloridaFla	8-4	766	0	10	-2	3/12
13	IndianaInd	6-2	762	0	8	-5	7/NR
14	Coastal CarolinaCoastC	11-1	649	0	11	-3	11/NR
15	IowaIowa	6-2	606	0	16	+1	15/NR
16	UL LafayetteUL-Laf	10-1	596	0	17	+1	16/NR
17	North CarolinaUNC	8-4	538	0	14	-3	6/NR
18	LibertyLib	10-1	476	0	23	+5	18/NR
19	Oklahoma StateOkSt	8-3	456	0	21	+2	6/NR
20	TexasTex	7-3	402	0	24	+4	8/NR
21	Southern CaliforniaUSC	5-1	400	0	19	-2	13/NR
22	MiamiMia-Fl	8-3	275	0	18	-4	7/NR
23	Ball StateBallSt	7-1	157	0	NR	+7	23/NR
24	San Jose StateSJSU	7-1	100	0	20	-4	20/NR
