1	Aug 24, 2019		Sat	(8) Florida	24	N	Miami (FL)	20	Camping World Stadium - Orlando, Florida
1	Aug 24, 2019		Sat	Hawaii	45		Arizona	38	Aloha Stadium - Honolulu, Hawaii
2	Aug 29, 2019		Thu	Alabama-Birmingham	24		Alabama State	19	Legion Field - Birmingham, Alabama
2	Aug 29, 2019		Thu	Arizona State	30		Kent State	7	Sun Devil Stadium - Tempe, Arizona
2	Aug 29, 2019		Thu	Bowling Green	46		Morgan State	3	Doyt Perry Stadium - Bowling Green, Ohio
2	Aug 29, 2019		Thu	Buffalo	38		Robert Morris	10	UB Stadium - Buffalo, New York
2	Aug 29, 2019		Thu	Central Arkansas	35	@	Western Kentucky	28	Houchens Industries-L.T. Smith Stadium - Bowling Green, Kentucky
2	Aug 29, 2019		Thu	(17) Central Florida	62		Florida A&M	0	Spectrum Stadium - Orlando, Florida
2	Aug 29, 2019		Thu	Central Michigan	38		Albany	21	Kelly/Shorts Stadium - Mount Pleasant, Michigan
2	Aug 29, 2019		Thu	Charlotte	49		Gardner-Webb	28	Jerry Richardson Stadium - Charlotte, North Carolina
2	Aug 29, 2019		Thu	Cincinnati	24		UCLA	14	Nippert Stadium - Cincinnati, Ohio
2	Aug 29, 2019		Thu	(1) Clemson	52		Georgia Tech	14	Clemson Memorial Stadium - Clemson, South Carolina
2	Aug 29, 2019		Thu	Connecticut	24		Wagner	21	Pratt & Whitney Stadium at Rentschler Field - East Hartford, Connecticut
2	Aug 29, 2019		Thu	Minnesota	28		South Dakota State	21	TCF Bank Stadium - Minneapolis, Minnesota
2	Aug 29, 2019		Thu	San Jose State	35		Northern Colorado	18	CEFCU Stadium - San Jose, California
2	Aug 29, 2019		Thu	(12) Texas A&M	41		Texas State	7	Kyle Field - College Station, Texas
2	Aug 29, 2019		Thu	Tulane	42		Florida International	14	Yulman Stadium - New Orleans, Louisiana
2	Aug 29, 2019		Thu	(14) Utah	30	@	Brigham Young	12	LaVell Edwards Stadium - Provo, Utah
2	Aug 30, 2019		Fri	Army	14		Rice	7	Michie Stadium - West Point, New York
2	Aug 30, 2019		Fri	Colorado	52	N	Colorado State	31	Empower Field at Mile High - Denver, Colorado
2	Aug 30, 2019		Fri	(18) Michigan State	28		Tulsa	7	Spartan Stadium - East Lansing, Michigan
2	Aug 30, 2019		Fri	Nevada	34		Purdue	31	MacKay Stadium - Reno, Nevada
2	Aug 30, 2019		Fri	Oklahoma State	52	@	Oregon State	36	Reser Stadium - Corvallis, Oregon
2	Aug 30, 2019		Fri	Rutgers	48		Massachusetts	21	SHI Stadium - Piscataway, New Jersey
2	Aug 30, 2019		Fri	Wake Forest	38		Utah State	35	BB&T Field - Winston-Salem, North Carolina
2	Aug 30, 2019		Fri	(19) Wisconsin	49	@	South Florida	0	Raymond James Stadium - Tampa, Florida
2	Aug 31, 2019		Sat	Air Force	48		Colgate	7	Falcon Stadium - Colorado Springs, Colorado
2	Aug 31, 2019		Sat	(2) Alabama	42	N	Duke	3	Mercedes-Benz Stadium - Atlanta, Georgia
2	Aug 31, 2019		Sat	Appalachian State	42		East Tennessee State	7	Kidd Brewer Stadium - Boone, North Carolina
2	Aug 31, 2019		Sat	Arkansas	20		Portland State	13	Donald W. Reynolds Razorback Stadium - Fayetteville, Arkansas
2	Aug 31, 2019		Sat	(16) Auburn	27	N	(11) Oregon	21	AT&T Stadium - Arlington, Texas
2	Aug 31, 2019		Sat	Baylor	56		Stephen F. Austin	17	McLane Stadium - Waco, Texas
2	Aug 31, 2019		Sat	Boise State	36	@	Florida State	31	Doak Campbell Stadium - Tallahassee, Florida
2	Aug 31, 2019		Sat	Boston College	35		Virginia Tech	28	Alumni Stadium - Chestnut Hill, Massachusetts
2	Aug 31, 2019		Sat	California	27		California-Davis	13	California Memorial Stadium - Berkeley, California
2	Aug 31, 2019		Sat	Eastern Michigan	30	@	Coastal Carolina	23	Brooks Stadium - Conway, South Carolina
2	Aug 31, 2019		Sat	(3) Georgia	30	@	Vanderbilt	6	Vanderbilt Stadium - Nashville, Tennessee
2	Aug 31, 2019		Sat	Georgia State	38	@	Tennessee	30	Neyland Stadium - Knoxville, Tennessee
2	Aug 31, 2019		Sat	Illinois	42		Akron	3	Memorial Stadium - Champaign, Illinois
2	Aug 31, 2019		Sat	Indiana	34	N	Ball State	24	Lucas Oil Stadium - Indianapolis, Indiana
2	Aug 31, 2019		Sat	(20) Iowa	38		Miami (OH)	14	Kinnick Stadium - Iowa City, Iowa
2	Aug 31, 2019		Sat	(21) Iowa State	29		Northern Iowa	26	Jack Trice Stadium - Ames, Iowa
2	Aug 31, 2019		Sat	Kansas	24		Indiana State	17	David Booth Kansas Memorial Stadium - Lawrence, Kansas
2	Aug 31, 2019		Sat	Kansas State	49		Nicholls State	14	Bill Snyder Family Stadium - Manhattan, Kansas
2	Aug 31, 2019		Sat	Kentucky	38		Toledo	24	Kroger Field - Lexington, Kentucky
2	Aug 31, 2019		Sat	(6) Louisiana State	55		Georgia Southern	3	Tiger Stadium - Baton Rouge, Louisiana
2	Aug 31, 2019		Sat	Louisiana-Monroe	31		Grambling State	9	Malone Stadium - Monroe, Louisiana
2	Aug 31, 2019		Sat	Marshall	56		Virginia Military Institute	17	Joan C. Edwards Stadium - Huntington, West Virginia
2	Aug 31, 2019		Sat	Maryland	79		Howard	0	Capital One Field at Maryland Stadium - College Park, Maryland
2	Aug 31, 2019		Sat	Memphis	15		Mississippi	10	Liberty Bowl Memorial Stadium - Memphis, Tennessee
2	Aug 31, 2019		Sat	(7) Michigan	40		Middle Tennessee State	21	Michigan Stadium - Ann Arbor, Michigan
2	Aug 31, 2019		Sat	Mississippi State	38	N	Louisiana	28	Mercedes-Benz Superdome - New Orleans, Louisiana
2	Aug 31, 2019		Sat	Navy	45		Holy Cross	7	Navy-Marine Corps Memorial Stadium - Annapolis, Maryland
2	Aug 31, 2019		Sat	(24) Nebraska	35		South Alabama	21	Memorial Stadium - Lincoln, Nebraska
2	Aug 31, 2019		Sat	Nevada-Las Vegas	56		Southern Utah	23	Sam Boyd Stadium - Las Vegas, Nevada
2	Aug 31, 2019		Sat	New Mexico	39		Sam Houston	31	Dreamstyle Stadium - Albuquerque, New Mexico
2	Aug 31, 2019		Sat	North Carolina	24	N	South Carolina	20	Bank of America Stadium - Charlotte, North Carolina
2	Aug 31, 2019		Sat	North Carolina State	34		East Carolina	6	Carter-Finley Stadium - Raleigh, North Carolina
2	Aug 31, 2019		Sat	North Texas	51		Abilene Christian	31	Apogee Stadium - Denton, Texas
2	Aug 31, 2019		Sat	Northern Illinois	24		Illinois State	10	Huskie Stadium - DeKalb, Illinois
2	Aug 31, 2019		Sat	Ohio	41		Rhode Island	20	Peden Stadium - Athens, Ohio
2	Aug 31, 2019		Sat	(5) Ohio State	45		Florida Atlantic	21	Ohio Stadium - Columbus, Ohio
2	Aug 31, 2019		Sat	Old Dominion	24		Norfolk State	21	Foreman Field at S.B. Ballard Stadium - Norfolk, Virginia
2	Aug 31, 2019		Sat	(15) Penn State	79		Idaho	7	Beaver Stadium - University Park, Pennsylvania
2	Aug 31, 2019		Sat	San Diego State	6		Weber State	0	SDCCU Stadium - San Diego, California
2	Aug 31, 2019		Sat	Southern California	31		Fresno State	23	Los Angeles Memorial Coliseum - Los Angeles, California
2	Aug 31, 2019		Sat	Southern Methodist	37	@	Arkansas State	30	Centennial Bank Stadium - Jonesboro, Arkansas
2	Aug 31, 2019		Sat	Southern Mississippi	38		Alcorn State	10	M. M. Roberts Stadium - Hattiesburg, Mississippi
2	Aug 31, 2019		Sat	(25) Stanford	17		Northwestern	7	Stanford Stadium - Stanford, California
2	Aug 31, 2019		Sat	(22) Syracuse	24	@	Liberty	0	Williams Stadium - Lynchburg, Virginia
2	Aug 31, 2019		Sat	Temple	56		Bucknell	12	Lincoln Financial Field - Philadelphia, Pennsylvania
2	Aug 31, 2019		Sat	(10) Texas	45		Louisiana Tech	14	Darrell K Royal-Texas Memorial Stadium - Austin, Texas
2	Aug 31, 2019		Sat	Texas Christian	39		Arkansas-Pine Bluff	7	Amon G. Carter Stadium - Fort Worth, Texas
2	Aug 31, 2019		Sat	Texas Tech	45		Montana State	10	Jones AT&T Stadium - Lubbock, Texas
2	Aug 31, 2019		Sat	Texas-El Paso	36		Houston Baptist	34	Sun Bowl - El Paso, Texas
2	Aug 31, 2019		Sat	Texas-San Antonio	35		Incarnate Word	7	Alamodome - San Antonio, Texas
2	Aug 31, 2019		Sat	Troy	43		Campbell	14	Veterans Memorial Stadium - Troy, Alabama
2	Aug 31, 2019		Sat	Virginia	30	@	Pittsburgh	14	Heinz Field - Pittsburgh, Pennsylvania
