1	Louisiana StateLSU	13-1	1572	60	2	+1	1/15
2	Southern CaliforniaUSC	12-1	1514	3	1	-1	1/10
3	OklahomaOkla	12-2	1429	0	3	-	1/3
4	Ohio StateOhioSt	11-2	1370	0	6	+2	2/8
5	MiamiMia-Fl	11-2	1306	0	9	+4	2/14
6	GeorgiaUGa	11-3	1183	0	11	+5	4/12
7	MichiganMich	10-3	1140	0	4	-3	4/19
8	IowaIowa	10-3	1119	0	12	+4	8/NR
9	Washington StateWashSt	10-3	983	0	14	+5	6/NR
10	Florida StateFlaSt	10-3	929	0	8	-2	3/12
11	TexasTex	10-3	894	0	5	-6	4/20
12	Miami (Ohio)Mia-O	13-1	800	0	15	+3	12/NR
13	Kansas StateKanSt	11-4	746	0	10	-3	5/NR
14	MississippiMiss	10-3	730	0	18	+4	14/NR
15	Boise StateBoise	13-1	704	0	16	+1	15/NR
16	TennesseeTenn	10-3	684	0	7	-9	7/22
17	MinnesotaMinn	10-3	553	0	20	+3	13/NR
18	NebraskaNeb	10-3	532	0	21	+3	7/NR
19	PurduePurdue	9-4	510	0	13	-6	10/NR
20	MarylandMD	10-3	462	0	24	+4	13/NR
21	UtahUtah	10-2	327	0	25	+4	21/NR
22	ClemsonClem	9-4	219	0	NR	+9	22/NR
23	Bowling GreenBGSU	11-3	170	0	NR	+7	20/NR
24	Texas ChristianTCU	11-2	145	0	19	-5	9/NR
