1	Alabama	13-0	1525	-	vs #2Ohio StateW52-24	-
2	Ohio State	7-1	1463	-	vs #1AlabamaL52-24	-
3	Clemson	10-2	1378	-	vs #2Ohio StateL49-28	-
4	Texas A&M	9-1	1324	-	vs #18North CarolinaW41-27	-
5	Notre Dame	10-2	1279	-	vs #1AlabamaL31-14	-
6	Oklahoma	9-2	1243	-	vs #13FloridaW55-20	-
7	Georgia	8-2	1144	-	vs #8CincinnatiW24-21	-
8	Cincinnati	9-1	1074	-	vs #7GeorgiaL24-21	-
9	Iowa State	9-3	1035	-	vsOregonW34-17	-
10	Northwestern	7-2	893	-	vsAuburnW35-19	-
11	BYU	11-1	862	-	vsUCFW49-23	-
12	Indiana	6-2	773	-	vsOle MissL26-20	-
13	Florida	8-4	764	-	vs #6OklahomaL55-20	-
14	Coastal Carolina	11-1	725	-	vs #17LibertyL37-34	-
15	Louisiana	10-1	664	-	vsUTSAW31-24	-
16	Iowa	6-2	581	-	-	-
17	Liberty	10-1	576	-	vs #14Coastal CarolinaW37-34	-
18	North Carolina	8-4	532	-	vs #4Texas A&ML41-27	-
19	Texas	7-3	485	-	vsColoradoW55-23	-
20	Oklahoma State	8-3	417	NR	vs #22MiamiW37-34	-
21	USC	5-1	306	-	-	-
22	Miami	8-3	284	-	vs #20Oklahoma StateL37-34	-
23	Ball State	7-1	183	NR	vs #24San José StateW34-13	-
24	San José State	7-1	80	-	vs #23Ball StateL34-13	-
