1	Aug 30, 2014	7:00 PM	Sat	Texas State	65		Arkansas-Pine Bluff	0	
1	Aug 30, 2014	7:00 PM	Sat	Texas Tech	42		Central Arkansas	35	
1	Aug 30, 2014	8:00 PM	Sat	Texas-El Paso	31	@	New Mexico	24	
1	Aug 30, 2014		Sat	Toledo	54		New Hampshire	20	
1	Aug 30, 2014	12:00 PM	Sat	(7) UCLA	28	@	Virginia	20	
1	Aug 30, 2014	4:00 PM	Sat	Virginia Tech	34		William & Mary	9	
1	Aug 30, 2014	10:30 PM	Sat	(25) Washington	17	@	Hawaii	16	
1	Aug 30, 2014	4:00 PM	Sat	Wyoming	17		Montana	12	
1	Aug 31, 2014		Sun	(10) Baylor	45		Southern Methodist	0	
1	Aug 31, 2014	7:00 PM	Sun	Tennessee	38		Utah State	7	
1	Sep 1, 2014	8:00 PM	Mon	(25) Louisville	31		Miami (FL)	13	
2	Sep 4, 2014	8:00 PM	Thu	Arizona	26	@	Texas-San Antonio	23	
2	Sep 5, 2014	10:30 PM	Fri	Nevada	24		Washington State	13	
2	Sep 5, 2014	7:00 PM	Fri	Pittsburgh	30	@	Boston College	20	
2	Sep 6, 2014	12:00 PM	Sat	(2) Alabama	41		Florida Atlantic	0	
2	Sep 6, 2014	6:00 PM	Sat	Appalachian State	66		Campbell	0	
2	Sep 6, 2014	7:00 PM	Sat	(17) Arizona State	58	@	New Mexico	23	
2	Sep 6, 2014	4:00 PM	Sat	Arkansas	73		Nicholls State	7	
2	Sep 6, 2014	12:00 PM	Sat	Army	47		Buffalo	39	
2	Sep 6, 2014	7:00 PM	Sat	(5) Auburn	59		San Jose State	13	
2	Sep 6, 2014	7:45 PM	Sat	(10) Baylor	70		Northwestern State	6	
2	Sep 6, 2014	10:15 PM	Sat	Boise State	37		Colorado State	24	
2	Sep 6, 2014	3:30 PM	Sat	Bowling Green	48		Virginia Military Institute	7	
2	Sep 6, 2014	7:30 PM	Sat	Brigham Young	41	@	Texas	7	
2	Sep 6, 2014	3:00 PM	Sat	California	55		Sacramento State	14	
2	Sep 6, 2014	12:00 PM	Sat	Central Michigan	38	@	Purdue	17	
2	Sep 6, 2014	12:30 PM	Sat	(23) Clemson	73		South Carolina State	7	
2	Sep 6, 2014	3:00 PM	Sat	Colorado	41	N	Massachusetts	38	Gillette Stadium - Foxborough, MA
2	Sep 6, 2014	12:00 PM	Sat	Connecticut	19		Stony Brook	16	
2	Sep 6, 2014	7:00 PM	Sat	Duke	34	@	Troy	17	
2	Sep 6, 2014	3:30 PM	Sat	Eastern Kentucky	17	@	Miami (OH)	10	
2	Sep 6, 2014	4:00 PM	Sat	Florida	65		Eastern Michigan	0	
2	Sep 6, 2014	6:00 PM	Sat	Florida International	34		Wagner	3	
2	Sep 6, 2014	7:30 PM	Sat	(1) Florida State	37		Citadel	12	
2	Sep 6, 2014	6:00 PM	Sat	Georgia Southern	83		Savannah State	9	
2	Sep 6, 2014	4:00 PM	Sat	Georgia Tech	38	@	Tulane	21	
2	Sep 6, 2014	8:00 PM	Sat	Houston	47		Grambling State	0	
2	Sep 6, 2014	12:00 PM	Sat	Illinois	42		Western Kentucky	34	
2	Sep 6, 2014	3:30 PM	Sat	Iowa	17		Ball State	13	
2	Sep 6, 2014	7:00 PM	Sat	Kansas	34		Southeast Missouri State	28	
2	Sep 6, 2014	12:00 PM	Sat	(20) Kansas State	32	@	Iowa State	28	
2	Sep 6, 2014	3:30 PM	Sat	Kentucky	20		Ohio	3	
2	Sep 6, 2014	7:30 PM	Sat	(12) Louisiana State	56		Sam Houston	0	
2	Sep 6, 2014	7:00 PM	Sat	Louisiana Tech	48	@	Louisiana	20	
