,Random Walk,Elo,Bradley-Terry,TTU,AP Poll
Random Walk,0.0,0.7340816326530613,0.7346938775510204,0.28,0.1388888888888889
Elo,0.7340816326530613,0.0,0.799795918367347,0.32,0.3194444444444444
Bradley-Terry,0.7346938775510204,0.799795918367347,0.0,0.24,0.3402777777777778
TTU,0.28,0.32,0.24,0.0,0.08
AP Poll,0.1388888888888889,0.3194444444444444,0.3402777777777778,0.08,0.0
