1	MichiganMich	15-0	1575	63	1	-	1/3
2	WashingtonWash	14-1	1507	0	2	-	2/11
3	GeorgiaUGa	13-1	1389	0	6	+3	1/6
4	TexasTex	12-2	1382	0	4	-	4/12
5	AlabamaAla	12-2	1356	0	4	-1	3/12
6	Florida StateFlaSt	13-1	1218	0	3	-3	3/8
7	OregonOregon	12-2	1213	0	8	+1	5/15
8	MissouriMissou	11-2	1143	0	9	+1	8/NR
9	Ole MissMiss	11-2	1082	0	11	+2	9/22
10	Ohio StateOhioSt	11-2	1014	0	7	-3	2/10
11	ArizonaAri	10-3	898	0	14	+3	11/NR
12	LSULSU	10-3	890	0	13	+1	5/23
13	Penn StatePSU	10-3	811	0	10	-3	5/13
14	Notre DameND	10-3	772	0	16	+2	9/22
15	OklahomaOkla	10-3	691	0	12	-3	6/19
16	Oklahoma StateOkSt	10-4	575	0	21	+5	16/NR
17	TennesseeTenn	9-4	529	0	23	+6	9/23
18	LouisvilleLou	10-4	460	0	15	-3	9/NR
19	Kansas StateKanSt	9-4	386	0	NR	+9	15/NR
20	ClemsonClem	9-4	334	0	NR	+6	9/NR
21	North Carolina StateNCSU	9-4	271	0	18	-3	18/NR
22	IowaIowa	10-4	249	0	17	-5	17/NR
23	KansasKansas	9-4	158	0	NR	+7	18/NR
24	SMUSMU	11-3	119	0	19	-5	19/NR
