2	Sep 2, 2017	8:00 PM	Sat	Iowa State	42		Northern Iowa	24	Jack Trice Stadium - Ames, Iowa
2	Sep 2, 2017	6:00 PM	Sat	James Madison	34	@	East Carolina	14	Dowdy-Ficklen Stadium - Greenville, North Carolina
2	Sep 2, 2017	7:00 PM	Sat	Kansas	38		Southeast Missouri State	16	Memorial Stadium - Lawrence, Kansas
2	Sep 2, 2017	7:10 PM	Sat	(20) Kansas State	55		Central Arkansas	19	Bill Snyder Family Stadium - Manhattan, Kansas
2	Sep 2, 2017	4:00 PM	Sat	Kentucky	24	@	Southern Mississippi	17	M. M. Roberts Stadium - Hattiesburg, Mississippi
2	Sep 2, 2017	7:00 PM	Sat	Liberty	48	@	Baylor	45	McLane Stadium - Waco, Texas
2	Sep 2, 2017	7:00 PM	Sat	Louisiana	51		Southeastern Louisiana	48	Cajun Field - Lafayette, Louisiana
2	Sep 2, 2017		Sat	(13) Louisiana State	27	N	Brigham Young	0	Mercedes-Benz Superdome - New Orleans, Louisiana
2	Sep 2, 2017	7:00 PM	Sat	Louisiana Tech	52		Northwestern State	24	Joe Aillet Stadium - Ruston, Louisiana
2	Sep 2, 2017	7:30 PM	Sat	(16) Louisville	35	N	Purdue	28	Lucas Oil Stadium - Indianapolis, Indiana
2	Sep 2, 2017	6:30 PM	Sat	Marshall	31		Miami (OH)	26	Joan C. Edwards Stadium - Huntington, West Virginia
2	Sep 2, 2017	12:00 PM	Sat	Maryland	51	@	(23) Texas	41	Darrell K Royal-Texas Memorial Stadium - Austin, Texas
2	Sep 2, 2017	12:30 PM	Sat	(18) Miami (FL)	41		Bethune-Cookman	13	Hard Rock Stadium - Miami Gardens, Florida
2	Sep 2, 2017	3:30 PM	Sat	(11) Michigan	33	N	(17) Florida	17	AT&T Stadium - Arlington, Texas
2	Sep 2, 2017	12:00 PM	Sat	Michigan State	35		Bowling Green	10	Spartan Stadium - East Lansing, Michigan
2	Sep 2, 2017	7:30 PM	Sat	Mississippi	47		South Alabama	27	Vaught-Hemingway Stadium - Oxford, Mississippi
2	Sep 2, 2017	4:00 PM	Sat	Mississippi State	49		Charleston Southern	0	Davis Wade Stadium - Starkville, Mississippi
2	Sep 2, 2017	12:00 PM	Sat	Missouri	72		Missouri State	43	Memorial Stadium/Faurot Field - Columbia, Missouri
2	Sep 2, 2017	8:00 PM	Sat	Nebraska	43		Arkansas State	36	Memorial Stadium - Lincoln, Nebraska
2	Sep 2, 2017	8:00 PM	Sat	New Mexico	38		Abilene Christian	14	Dreamstyle Stadium - Albuquerque, New Mexico
2	Sep 2, 2017	7:00 PM	Sat	North Texas	59		Lamar	14	Apogee Stadium - Denton, Texas
2	Sep 2, 2017	3:30 PM	Sat	Northwestern	31		Nevada	20	Ryan Field - Evanston, Illinois
2	Sep 2, 2017	3:30 PM	Sat	Notre Dame	49		Temple	16	Notre Dame Stadium - South Bend, Indiana
2	Sep 2, 2017		Sat	Ohio	59		Hampton	0	Peden Stadium - Athens, Ohio
2	Sep 2, 2017		Sat	(7) Oklahoma	56		Texas-El Paso	7	Gaylord Family - Oklahoma Memorial Stadium - Norman, Oklahoma
2	Sep 2, 2017	6:00 PM	Sat	Old Dominion	31		Albany	17	S.B. Ballard Stadium - Norfolk, Virginia
2	Sep 2, 2017	8:15 PM	Sat	Oregon	77		Southern Utah	21	Autzen Stadium - Eugene, Oregon
2	Sep 2, 2017	2:00 PM	Sat	Oregon State	35		Portland State	32	Reser Stadium - Corvallis, Oregon
2	Sep 2, 2017	12:00 PM	Sat	(6) Penn State	52		Akron	0	Beaver Stadium - University Park, Pennsylvania
2	Sep 2, 2017	1:00 PM	Sat	Pittsburgh	28		Youngstown State	21	Heinz Field - Pittsburgh, Pennsylvania
2	Sep 2, 2017	8:30 PM	Sat	San Diego State	38		California-Davis	17	SDCCU Stadium - San Diego, California
2	Sep 2, 2017	7:30 PM	Sat	San Jose State	34		Cal Poly	13	CEFCU Stadium - San Jose, California
2	Sep 2, 2017	3:00 PM	Sat	South Carolina	35	N	North Carolina State	28	Bank of America Stadium - Charlotte, North Carolina
2	Sep 2, 2017	4:00 PM	Sat	(19) South Florida	31		Stony Brook	17	Raymond James Stadium - Tampa, Florida
2	Sep 2, 2017	5:15 PM	Sat	(4) Southern California	49		Western Michigan	31	Los Angeles Memorial Coliseum - Los Angeles, California
2	Sep 2, 2017	7:00 PM	Sat	Southern Methodist	58		Stephen F. Austin	14	Gerald J. Ford Stadium - Dallas, Texas
2	Sep 2, 2017	8:00 PM	Sat	Texas Christian	63		Jackson State	0	Amon G. Carter Stadium - Fort Worth, Texas
2	Sep 2, 2017	7:00 PM	Sat	Texas State	20		Houston Baptist	11	Bobcat Stadium - San Marcos, Texas
2	Sep 2, 2017	4:00 PM	Sat	Texas Tech	56		Eastern Washington	10	Jones AT&T Stadium - Lubbock, Texas
2	Sep 2, 2017	8:00 PM	Sat	Tulane	43		Grambling State	14	Yulman Stadium - New Orleans, Louisiana
2	Sep 2, 2017	8:00 PM	Sat	Vanderbilt	28	@	Middle Tennessee State	6	Floyd Stadium - Murfreesboro, Tennessee
2	Sep 2, 2017	3:30 PM	Sat	Virginia	28		William & Mary	10	Scott Stadium - Charlottesville, Virginia
2	Sep 2, 2017	10:30 PM	Sat	(24) Washington State	31		Montana State	0	Martin Stadium - Pullman, Washington
2	Sep 2, 2017	7:00 PM	Sat	Western Kentucky	31		Eastern Kentucky	17	Houchens Industries-L.T. Smith Stadium - Bowling Green, Kentucky
2	Sep 3, 2017	7:30 PM	Sun	UCLA	45		Texas A&M	44	Rose Bowl - Pasadena, California
2	Sep 3, 2017	7:30 PM	Sun	(21) Virginia Tech	31	N	(22) West Virginia	24	FedEx Field - Landover, Maryland
2	Sep 4, 2017	8:00 PM	Mon	(25) Tennessee	42	N	Georgia Tech	41	Mercedes-Benz Stadium - Atlanta, Georgia
3	Sep 7, 2017	8:00 PM	Thu	Utah State	51		Idaho State	13	Merlin Olsen Field at Maverik Stadium - Logan, Utah
3	Sep 8, 2017	7:00 PM	Fri	Florida International	17	N	Alcorn State	10	Legion Field - Birmingham, Alabama
3	Sep 8, 2017	8:00 PM	Fri	(11) Oklahoma State	44	@	South Alabama	7	Ladd-Peebles Stadium - Mobile, Alabama
3	Sep 8, 2017	8:00 PM	Fri	Purdue	44		Ohio	21	Ross-Ade Stadium - West Lafayette, Indiana
3	Sep 9, 2017	6:30 PM	Sat	Akron	52		Arkansas-Pine Bluff	3	InfoCision Stadium - Akron, Ohio
3	Sep 9, 2017	3:30 PM	Sat	(1) Alabama	41		Fresno State	10	Bryant-Denny Stadium - Tuscaloosa, Alabama
3	Sep 9, 2017	3:30 PM	Sat	Appalachian State	54		Savannah State	7	Kidd Brewer Stadium - Boone, North Carolina
3	Sep 9, 2017	12:00 PM	Sat	Army	21		Buffalo	17	Michie Stadium - West Point, New York
3	Sep 9, 2017	3:00 PM	Sat	Ball State	51		Alabama-Birmingham	31	Scheumann Stadium - Muncie, Indiana
3	Sep 9, 2017	5:00 PM	Sat	California	33		Weber State	20	California Memorial Stadium - Berkeley, California
3	Sep 9, 2017	4:00 PM	Sat	Central Michigan	45	@	Kansas	27	Memorial Stadium - Lawrence, Kansas
3	Sep 9, 2017	7:00 PM	Sat	(3) Clemson	14		(13) Auburn	6	Clemson Memorial Stadium - Clemson, South Carolina
3	Sep 9, 2017	2:00 PM	Sat	Colorado	37		Texas State	3	Folsom Field - Boulder, Colorado
3	Sep 9, 2017	3:30 PM	Sat	Colorado State	38		Abilene Christian	10	Sonny Lubrick Field at Colorado State Stadium - Fort Collins, Colorado
3	Sep 9, 2017	12:00 PM	Sat	Duke	41		Northwestern	17	Wallace Wade Stadium - Durham, North Carolina
3	Sep 9, 2017	3:30 PM	Sat	Eastern Michigan	16	@	Rutgers	13	High Point Solutions Stadium - Piscataway, New Jersey
3	Sep 9, 2017	7:30 PM	Sat	(15) Georgia	20	@	(24) Notre Dame	19	Notre Dame Stadium - South Bend, Indiana
3	Sep 9, 2017	12:30 PM	Sat	Georgia Tech	37		Jacksonville State	10	Bobby Dodd Stadium - Atlanta, Georgia
3	Sep 9, 2017	10:30 PM	Sat	Houston	19	@	Arizona	16	Arizona Stadium - Tucson, Arizona
3	Sep 9, 2017	8:00 PM	Sat	Illinois	20		Western Kentucky	7	Memorial Stadium - Champaign, Illinois
3	Sep 9, 2017	3:30 PM	Sat	Indiana	34	@	Virginia	17	Scott Stadium - Charlottesville, Virginia
3	Sep 9, 2017	12:00 PM	Sat	Iowa	44	@	Iowa State	41	Jack Trice Stadium - Ames, Iowa
3	Sep 9, 2017	12:00 PM	Sat	(19) Kansas State	55		Charlotte	7	Bill Snyder Family Stadium - Manhattan, Kansas
3	Sep 9, 2017	3:30 PM	Sat	Kent State	38		Howard	31	Dix Stadium - Kent, Ohio
3	Sep 9, 2017	12:00 PM	Sat	Kentucky	27		Eastern Kentucky	16	Kroger Field - Lexington, Kentucky
3	Sep 9, 2017	7:30 PM	Sat	(12) Louisiana State	45		Chattanooga	10	Tiger Stadium - Baton Rouge, Louisiana
3	Sep 9, 2017	12:00 PM	Sat	(17) Louisville	47	@	North Carolina	35	Kenan Memorial Stadium - Chapel Hill, North Carolina
3	Sep 9, 2017	12:00 PM	Sat	Maryland	63		Towson	17	Capital One Field at Maryland Stadium - College Park, Maryland
3	Sep 9, 2017	3:30 PM	Sat	Miami (OH)	31		Austin Peay	10	Fred Yager Stadium - Oxford, Ohio
3	Sep 9, 2017	12:00 PM	Sat	(8) Michigan	36		Cincinnati	14	Michigan Stadium - Ann Arbor, Michigan
3	Sep 9, 2017	3:30 PM	Sat	Michigan State	28		Western Michigan	14	Spartan Stadium - East Lansing, Michigan
3	Sep 9, 2017	3:30 PM	Sat	Middle Tennessee State	30	@	Syracuse	23	Carrier Dome - Syracuse, New York
3	Sep 9, 2017	10:00 PM	Sat	Minnesota	48	@	Oregon State	14	Reser Stadium - Corvallis, Oregon
3	Sep 9, 2017	12:00 PM	Sat	Mississippi	45		Tennessee-Martin	23	Vaught-Hemingway Stadium - Oxford, Mississippi
3	Sep 9, 2017	7:30 PM	Sat	Mississippi State	57	@	Louisiana Tech	21	Joe Aillet Stadium - Ruston, Louisiana
3	Sep 9, 2017	3:30 PM	Sat	Navy	23		Tulane	21	Navy-Marine Corps Memorial Stadium - Annapolis, Maryland
3	Sep 9, 2017	7:00 PM	Sat	Nevada-Las Vegas	44	@	Idaho	16	Kibbie-Asui Activity Center - Moscow, Idaho
3	Sep 9, 2017	4:00 PM	Sat	New Hampshire	22	N	Georgia Southern	12	Legion Field - Birmingham, Alabama
3	Sep 9, 2017	8:00 PM	Sat	New Mexico State	30	@	New Mexico	28	Dreamstyle Stadium - Albuquerque, New Mexico
3	Sep 9, 2017	6:00 PM	Sat	North Carolina State	37		Marshall	20	Carter-Finley Stadium - Raleigh, North Carolina
3	Sep 9, 2017	3:30 PM	Sat	Northern Illinois	38		Eastern Illinois	10	Huskie Stadium - DeKalb, Illinois
3	Sep 9, 2017	7:30 PM	Sat	(5) Oklahoma	31	@	(2) Ohio State	16	Ohio Stadium - Columbus, Ohio
3	Sep 9, 2017	3:30 PM	Sat	Old Dominion	17	@	Massachusetts	7	Warren McGuirk Alumni Stadium - Amherst, Massachusetts
3	Sep 9, 2017	4:30 PM	Sat	Oregon	42		Nebraska	35	Autzen Stadium - Eugene, Oregon
3	Sep 9, 2017	3:30 PM	Sat	(4) Penn State	33		Pittsburgh	14	Beaver Stadium - University Park, Pennsylvania
3	Sep 9, 2017	8:00 PM	Sat	Rice	31	@	Texas-El Paso	14	Sun Bowl - El Paso, Texas
3	Sep 9, 2017	11:00 PM	Sat	San Diego State	30	@	Arizona State	20	Sun Devil Stadium - Tempe, Arizona
3	Sep 9, 2017	7:00 PM	Sat	South Carolina	31	@	Missouri	13	Memorial Stadium/Faurot Field - Columbia, Missouri
3	Sep 9, 2017	6:00 PM	Sat	South Dakota	35	@	Bowling Green	27	Doyt Perry Stadium - Bowling Green, Ohio
3	Sep 9, 2017	8:30 PM	Sat	(6) Southern California	42		(14) Stanford	24	Los Angeles Memorial Coliseum - Los Angeles, California
3	Sep 9, 2017	7:00 PM	Sat	Southern Methodist	54		North Texas	32	Gerald J. Ford Stadium - Dallas, Texas
3	Sep 9, 2017	7:00 PM	Sat	Southern Mississippi	45		Southern	0	M. M. Roberts Stadium - Hattiesburg, Mississippi
3	Sep 9, 2017	3:30 PM	Sat	Temple	16		Villanova	13	Lincoln Financial Field - Philadelphia, Pennsylvania
3	Sep 9, 2017	4:00 PM	Sat	(25) Tennessee	42		Indiana State	7	Neyland Stadium - Knoxville, Tennessee
3	Sep 9, 2017	3:30 PM	Sat	Texas	56		San Jose State	0	Darrell K Royal-Texas Memorial Stadium - Austin, Texas
