1	Auburn	14-0	0	-	vs #3OregonW22-19	-
2	TCU	13-0	0	-	vs #7WisconsinW21-19	-
3	Oregon	12-1	0	-	vs #1AuburnL22-19	-
4	Stanford	12-1	0	-	vs #16Virginia TechW40-12	-
5	Ohio State	12-1	0	-	vs #12ArkansasW31-26	-
6	Oklahoma	12-2	0	-	vsConnecticutW48-20	-
7	Wisconsin	11-2	0	-	vs #2TCUL21-19	-
8	LSU	11-2	0	-	vs #19Texas A&MW41-24	-
9	Boise State	12-1	0	-	vsUtahW26-3	-
10	Alabama	10-3	0	-	vs #14Michigan StateW49-7	-
11	Nevada	13-1	0	-	vsBoston CollegeW20-13	-
12	Arkansas	10-3	0	-	vs #5Ohio StateL31-26	-
13	Oklahoma State	11-2	0	-	vsArizonaW36-10	-
14	Michigan State	11-2	0	-	vs #10AlabamaL49-7	-
15	Mississippi State	9-4	0	-	vsMichiganW52-14	-
16	Virginia Tech	11-3	0	-	vs #4StanfordL40-12	-
17	Florida State	10-4	0	-	vs #22South CarolinaW26-17	-
18	Missouri	10-3	0	-	vsIowaL27-24	-
19	Texas A&M	9-4	0	-	vs #8LSUL41-24	-
20	Nebraska	10-4	0	-	vsWashingtonL19-7	-
21	UCF	11-3	0	NR	vsGeorgiaW10-6	-
22	South Carolina	9-5	0	-	vs #17Florida StateL26-17	-
23	Maryland	9-4	0	NR	vsEast CarolinaW51-20	-
24	Tulsa	10-3	0	NR	vsHawai'iW62-35	-
