1	LSU	15-0	1550	-	vs #2ClemsonW42-25	-
2	Clemson	14-1	1487	-	vs #1LSUL42-25	-
3	Ohio State	13-1	1426	-	vs #2ClemsonL29-23	-
4	Georgia	12-2	1336	-	vs #13BaylorW26-14	-
5	Oregon	12-2	1249	-	vs #11WisconsinW28-27	-
6	Florida	11-2	1211	-	vsVirginiaW36-28	-
7	Oklahoma	12-2	1179	-	vs #1LSUL63-28	-
8	Alabama	11-2	1159	-	vs #18MichiganW35-16	-
9	Penn State	11-2	1038	-	vs #17MemphisW53-39	-
10	Minnesota	11-2	952	-	vs #14AuburnW31-24	-
11	Wisconsin	10-4	883	-	vs #5OregonL28-27	-
12	Notre Dame	11-2	879	-	vsIowa StateW33-9	-
13	Baylor	11-3	827	-	vs #4GeorgiaL26-14	-
14	Auburn	9-4	726	-	vs #10MinnesotaL31-24	-
15	Iowa	10-3	699	-	vsUSCW49-24	-
16	Utah	11-3	543	-	vs #25TexasL38-10	-
17	Memphis	12-2	528	-	vs #9Penn StateL53-39	-
18	Michigan	9-4	468	-	vs #8AlabamaL35-16	-
19	Appalachian State	13-1	466	-	vsUABW31-17	-
20	Navy	11-2	415	-	vsKansas StateW20-17	-
21	Cincinnati	11-3	343	-	vsBoston CollegeW38-6	-
22	Air Force	11-2	209	-	vsWashington StateW31-21	-
23	Boise State	12-2	188	-	vsWashingtonL38-7	-
24	UCF	10-3	78	NR	vsMarshallW48-25	-
