1	Louisiana StateLSU	15-0	1625	65	1	-	1/6
2	ClemsonClem	14-1	1558	0	3	+1	1/3
3	Ohio StateOhioSt	13-1	1497	0	2	-1	2/6
4	GeorgiaUGa	12-2	1395	0	5	+1	3/10
5	OregonOregon	12-2	1314	0	6	+1	5/18
6	OklahomaOkla	12-2	1275	0	4	-2	4/9
7	FloridaFla	11-2	1250	0	7	-	6/12
8	AlabamaAla	11-2	1198	0	9	+1	1/9
9	Penn StatePSU	11-2	1080	0	12	+3	5/14
10	MinnesotaMinn	11-2	962	0	16	+6	7/NR
11	Notre DameND	11-2	932	0	14	+3	7/16
12	BaylorBaylor	11-3	929	0	8	-4	8/NR
13	WisconsinWisc	10-4	901	0	11	-2	6/17
14	AuburnAuburn	9-4	703	0	13	-1	7/16
15	IowaIowa	10-3	686	0	19	+4	14/22
16	UtahUtah	11-3	673	0	10	-6	5/19
17	MemphisMem	12-2	553	0	15	-2	15/NR
18	Appalachian StateApp	13-1	474	0	20	+2	18/NR
19	MichiganMich	9-4	437	0	17	-2	7/20
20	NavyNavy	11-2	396	0	21	+1	20/NR
21	CincinnatiCin	11-3	382	0	22	+1	17/NR
22	Boise StateBoise	12-2	273	0	18	-4	13/NR
23	Air ForceAF	11-2	265	0	24	+1	23/NR
24	Central FloridaUCF	10-3	72	0	NR	+6	16/NR
