1	USC	13-0	0	-	@ #3OklahomaW55-19	-
2	Auburn	13-0	0	-	vs #10Virginia TechW16-13	-
3	Oklahoma	12-1	0	-	vs #1USCL55-19	-
4	Utah	12-0	0	-	vs #25PittsburghW35-7	-
5	Texas	11-1	0	-	vs #14MichiganW38-37	-
6	Louisville	11-1	0	-	vs #12Boise StateW44-40	-
7	Georgia	10-2	0	-	@ #17WisconsinW24-21	-
8	Iowa	10-2	0	-	vs #16LSUW30-25	-
9	California	10-2	0	-	vs #18Texas TechL45-31	-
10	Virginia Tech	10-3	0	-	@ #2AuburnL16-13	-
11	Miami	9-3	0	-	@FloridaW27-10	-
12	Boise State	11-1	0	-	@ #6LouisvilleL44-40	-
13	Tennessee	10-3	0	-	@Texas A&MW38-7	-
14	Michigan	9-3	0	-	@ #5TexasL38-37	-
15	Florida State	9-3	0	-	@West VirginiaW30-18	-
16	LSU	9-3	0	-	@ #8IowaL30-25	-
17	Wisconsin	9-3	0	-	vs #7GeorgiaL24-21	-
18	Texas Tech	8-4	0	-	@ #9CaliforniaW45-31	-
19	Arizona State	9-3	0	-	@PurdueW27-23	-
20	Ohio State	8-4	0	-	vsOklahoma StateW33-7	-
21	Boston College	9-3	0	-	vsNorth CarolinaW37-24	-
22	Fresno State	9-3	0	NR	vs #23VirginiaW37-34	-
23	Virginia	8-4	0	-	@ #22Fresno StateL37-34	-
24	Navy	10-2	0	NR	vsNew MexicoW34-19	-
