1	Texas	13-0	0	-	vs #2USCW41-38	-
2	USC	12-1	0	-	@ #1TexasL41-38	-
3	Penn State	11-1	0	-	@ #23Florida StateW26-23	-
4	Ohio State	10-2	0	-	vs #9Notre DameW34-20	-
5	West Virginia	11-1	0	-	@ #10GeorgiaW38-35	-
6	LSU	11-2	0	-	vs #17MiamiW40-3	-
7	Virginia Tech	11-2	0	-	vs #19LouisvilleW35-24	-
8	Alabama	10-2	0	-	vs #20Texas TechW13-10	-
9	Notre Dame	9-3	0	-	@ #4Ohio StateL34-20	-
10	Georgia	10-3	0	-	vs #5West VirginiaL38-35	-
11	TCU	11-1	0	-	@Iowa StateW27-24	-
12	Florida	9-3	0	-	vsIowaW31-24	-
	Oregon	10-2	0	-	@ #22OklahomaL17-14	-
14	Auburn	9-3	0	-	vs #15WisconsinL24-10	-
15	Wisconsin	10-3	0	-	@ #14AuburnW24-10	-
16	UCLA	10-2	0	-	vsNorthwesternW50-38	-
17	Miami	9-3	0	-	@ #6LSUL40-3	-
18	Boston College	9-3	0	-	vsBoise StateW27-21	-
19	Louisville	9-3	0	-	@ #7Virginia TechL35-24	-
20	Texas Tech	9-3	0	-	@ #8AlabamaL13-10	-
21	Clemson	8-4	0	-	@ColoradoW19-10	-
22	Oklahoma	8-4	0	NR	vs #12OregonW17-14	-
23	Florida State	8-5	0	-	vs #3Penn StateL26-23	-
24	Nebraska	8-4	0	NR	vsMichiganW32-28	-
