,Random Walk,Elo,Bradley-Terry,TTU,AP Poll
Random Walk,0.0,0.5146840003132587,0.6341921841960999,0.12,0.2361111111111111
Elo,0.5146840003132587,0.0,0.5737332602396429,0.24,0.5625
Bradley-Terry,0.6341921841960999,0.5737332602396429,0.0,0.28,0.5416666666666666
TTU,0.12,0.24,0.28,0.0,-0.16
AP Poll,0.2361111111111111,0.5625,0.5416666666666666,-0.16,0.0
