1	AuburnAuburn	14-0	1424	56	2	+1	1/23
2	Texas ChristianTCU	13-0	1336	1	3	+1	2/7
3	OregonOregon	12-1	1333	0	1	-2	1/11
4	StanfordStan	12-1	1254	0	5	+1	4/NR
5	Ohio StateOhioSt	12-1	1197	0	6	+1	1/10
6	OklahomaOkla	12-2	1096	0	8	+2	3/16
7	Boise StateBoise	12-1	1012	0	10	+3	2/10
8	Louisiana StateLSU	11-2	1007	0	12	+4	6/16
8	WisconsinWisc	11-2	1007	0	4	-4	4/19
10	Oklahoma StateOkSt	11-2	883	0	13	+3	9/NR
11	AlabamaAla	10-3	860	0	18	+7	1/19
12	ArkansasArk	10-3	818	0	8	-4	8/21
13	NevadaNevada	13-1	734	0	15	+2	13/NR
14	Michigan StateMSU	11-2	676	0	7	-7	5/NR
15	Virginia TechVaTech	11-3	636	0	11	-4	6/NR
16	Florida StateFlaSt	10-4	506	0	23	+7	15/NR
17	Mississippi StateMissSt	9-4	505	0	22	+5	17/NR
18	MissouriMissou	10-3	473	0	14	-4	8/NR
19	NebraskaNeb	10-4	354	0	16	-3	4/19
20	Central FloridaUCF	11-3	328	0	24	+4	20/NR
21	Texas A&MTexA&M	9-4	277	0	17	-4	17/NR
22	South CarolinaSCar	9-5	181	0	20	-2	12/NR
23	UtahUtah	10-3	156	0	19	-4	6/24
24	MarylandMD	9-4	111	0	NR	+3	24/NR
