1	FloridaFla	13-1	1524	60	2	+1	1/13
2	Southern CaliforniaUSC	12-1	1393	0	4	+2	1/9
3	TexasTex	12-1	1389	0	3	-	1/10
4	UtahUtah	13-0	1375	1	7	+3	4/NR
5	OklahomaOkla	12-2	1333	0	1	-4	1/6
6	AlabamaAla	12-2	1157	0	4	-2	1/NR
7	Texas ChristianTCU	11-2	1114	0	11	+4	7/NR
8	Penn StatePSU	11-2	1091	0	6	-2	2/22
9	OregonOregon	10-3	1011	0	13	+4	9/NR
10	GeorgiaUGa	10-3	904	0	17	+7	1/19
11	Ohio StateOhioSt	10-3	874	0	10	-1	3/14
12	Texas TechTxTch	11-2	867	0	8	-4	2/14
13	Boise StateBoise	12-1	809	0	9	-4	9/NR
14	Virginia TechVaTech	10-4	740	0	19	+5	14/NR
15	MississippiMiss	9-4	620	0	24	+9	15/NR
16	MissouriMissou	10-4	549	0	23	+7	2/23
17	CincinnatiCin	11-3	493	0	12	-5	12/NR
18	Oklahoma StateOkSt	9-4	480	0	14	-4	8/NR
19	Oregon StateOreSt	9-4	407	0	25	+6	17/NR
20	IowaIowa	9-4	250	0	NR	+7	20/NR
21	Brigham YoungBYU	10-3	248	0	16	-5	7/21
22	Georgia TechGaTech	9-4	219	0	15	-7	15/NR
23	Florida StateFlaSt	9-4	217	0	NR	+5	16/NR
24	Michigan StateMSU	9-4	179	0	18	-6	15/NR
