1	AlabamaAla	14-0	1450	58	1	-	1/5
2	TexasTex	13-1	1360	0	2	-	2/3
3	FloridaFla	13-1	1323	0	5	+2	1/5
4	Boise StateBoise	14-0	1312	0	6	+2	4/16
5	Ohio StateOhioSt	11-2	1190	0	8	+3	5/17
6	Texas ChristianTCU	12-1	1104	0	3	-3	3/17
7	IowaIowa	11-2	1087	0	11	+4	6/NR
8	Penn StatePSU	11-2	1071	0	9	+1	4/17
9	CincinnatiCin	12-1	943	0	4	-5	4/NR
10	Virginia TechVaTech	10-3	940	0	12	+2	4/24
11	OregonOregon	10-3	846	0	7	-4	7/NR
12	Brigham YoungBYU	11-2	814	0	14	+2	9/NR
13	Georgia TechGaTech	11-3	741	0	10	-3	7/NR
14	NebraskaNeb	10-4	671	0	19	+5	14/NR
15	PittsburghPitt	10-3	667	0	16	+1	9/NR
16	WisconsinWisc	10-3	587	0	22	+6	14/NR
17	Louisiana StateLSU	9-4	530	0	13	-4	4/17
18	UtahUtah	10-3	466	0	24	+6	14/NR
19	MiamiMia-Fl	9-4	336	0	15	-4	9/NR
20	Southern CaliforniaUSC	9-4	217	0	NR	+7	3/NR
21	MississippiMiss	9-4	192	0	NR	+11	5/NR
22	West VirginiaWVU	9-4	159	0	17	-5	17/NR
23	Texas TechTxTch	9-4	152	0	NR	+6	23/NR
24	Central MichiganCentMi	12-2	123	0	NR	+2	24/NR
