1	Clemson	14-1	1500	-	vs #2AlabamaW35-31	-
2	Alabama	14-1	1440	-	vs #1ClemsonL35-31	-
3	USC	10-3	1292	-	vs #7Penn StateW52-49	-
4	Washington	12-2	1277	-	vs #2AlabamaL24-7	-
5	Oklahoma	11-2	1252	-	vs #24AuburnW35-19	-
6	Ohio State	11-2	1240	-	vs #1ClemsonL31-0	-
7	Penn State	11-3	1130	-	vs #3USCL52-49	-
8	Florida State	10-3	1105	-	vs #10MichiganW33-32	-
9	Wisconsin	11-3	1032	-	vs #15Western MichiganW24-16	-
10	Michigan	10-3	1001	-	vs #8Florida StateL33-32	-
11	Oklahoma State	10-3	920	-	vs #17ColoradoW38-8	-
12	Stanford	10-3	730	-	vsNorth CarolinaW25-23	-
13	LSU	8-4	651	-	vs #21LouisvilleW29-9	-
14	Florida	9-4	640	-	vsIowaW30-3	-
15	Western Michigan	13-1	619	-	vs #9WisconsinL24-16	-
16	Virginia Tech	10-4	610	-	vsArkansasW35-24	-
17	Colorado	10-4	585	-	vs #11Oklahoma StateL38-8	-
18	West Virginia	10-3	368	-	vs #20MiamiL31-14	-
19	South Florida	11-2	358	-	vsSouth CarolinaW46-39	-
20	Miami	9-4	338	NR	vs #18West VirginiaW31-14	-
21	Louisville	9-4	277	-	vs #13LSUL29-9	-
22	Tennessee	9-4	253	NR	vsNebraskaW38-24	-
23	Utah	9-4	222	NR	vsIndianaW26-24	-
24	Auburn	8-5	206	-	vs #5OklahomaL35-19	-
