1	Florida	13-1	0	-	vs #5OklahomaW24-14	-
2	Utah	13-0	0	-	vs #6AlabamaW31-17	-
3	USC	12-1	0	-	vs #8Penn StateW38-24	-
4	Texas	12-1	0	-	vs #9Ohio StateW24-21	-
5	Oklahoma	12-2	0	-	vs #1FloridaL24-14	-
6	Alabama	12-2	0	-	vs #2UtahL31-17	-
7	TCU	11-2	0	-	vs #11Boise StateW17-16	-
8	Penn State	11-2	0	-	vs #3USCL38-24	-
9	Ohio State	10-3	0	-	vs #4TexasL24-21	-
10	Oregon	10-3	0	-	vs #16Oklahoma StateW42-31	-
11	Boise State	12-1	0	-	vs #7TCUL17-16	-
12	Texas Tech	11-2	0	-	vs #14Ole MissL47-34	-
13	Georgia	10-3	0	-	vs #24Michigan StateW24-12	-
14	Ole Miss	9-4	0	-	vs #12Texas TechW47-34	-
15	Virginia Tech	10-4	0	-	vs #17CincinnatiW20-7	-
16	Oklahoma State	9-4	0	-	vs #10OregonL42-31	-
17	Cincinnati	11-3	0	-	vs #15Virginia TechL20-7	-
18	Oregon State	9-4	0	-	vsPittsburghW3-0	-
19	Missouri	10-4	0	-	vsNorthwesternW30-23	-
20	Iowa	9-4	0	NR	vsSouth CarolinaW31-10	-
21	Florida State	9-4	0	NR	vsWisconsinW42-13	-
22	Georgia Tech	9-4	0	-	vsLSUL38-3	-
23	West Virginia	9-4	0	NR	vsNorth CarolinaW31-30	-
24	Michigan State	9-4	0	-	vs #13GeorgiaL24-12	-
