1	AlabamaAla	13-1	1400	56	2	+1	1/5
2	OregonOregon	12-1	1322	0	3	+1	1/5
3	Notre DameND	12-1	1253	0	1	-2	1/24
4	GeorgiaUGa	12-2	1213	0	5	+1	3/12
5	Texas A&MTexA&M	11-2	1171	0	9	+4	5/NR
6	StanfordStan	12-2	1167	0	8	+2	6/23
7	South CarolinaSCar	11-2	1064	0	10	+3	3/16
8	Florida StateFlaSt	12-2	942	0	12	+4	4/12
9	ClemsonClem	11-2	916	0	13	+4	8/16
10	FloridaFla	11-2	886	0	4	-6	3/23
11	Kansas StateKanSt	11-2	841	0	6	-5	2/21
12	Louisiana StateLSU	10-3	775	0	7	-5	1/12
13	LouisvilleLou	11-2	772	0	18	+5	10/NR
14	Boise StateBoise	11-2	633	0	15	+1	14/NR
15	OklahomaOkla	10-3	600	0	11	-4	4/15
16	NorthwesternNW	10-3	580	0	17	+1	16/NR
17	Utah StateUtahSt	11-2	444	0	20	+3	17/NR
18	TexasTex	9-4	398	0	25	+7	9/NR
19	Oregon StateOreSt	9-4	366	0	14	-5	9/NR
20	VanderbiltVandy	9-4	248	0	NR	+7	20/NR
21	San Jose StateSJSU	11-2	244	0	24	+3	21/NR
22	CincinnatiCin	10-3	186	0	NR	+6	18/NR
23	NebraskaNeb	10-4	175	0	21	-2	13/NR
24	Northern IllinoisNIU	12-2	156	0	16	-8	16/NR
