OhioState	2046.352165359118
Florida	2023.595130632417
BoiseState	1992.025625877462
Michigan	1974.759518196161
Louisville	1949.6475328348693
LouisianaState	1909.8200225469584
SouthernCalifornia	1897.9710864739047
Wisconsin	1887.4510162075007
Auburn	1874.1764323138104
Rutgers	1871.7715971437442
Oklahoma	1866.8123568418998
WestVirginia	1862.9026406812486
NotreDame	1853.8970340675896
Arkansas	1849.2038335230457
WakeForest	1848.7949227055494
Tennessee	1844.834069794959
California	1825.2539633392137
BrighamYoung	1823.515148659553
OregonState	1798.5753475560978
Texas	1797.7092160697641
BostonCollege	1789.9550315767103
VirginiaTech	1787.145978432532
Georgia	1776.1405709559149
SouthCarolina	1773.694531814924
TexasChristian	1771.6534771464353
Hawaii	1749.5345468915568
Kentucky	1734.5547293643267
Nebraska	1730.95796937752
Maryland	1725.62010778681
TexasA&M	1722.1770600453342
SouthFlorida	1715.560011345972
PennState	1712.3621123234723
Cincinnati	1711.2934086233718
GeorgiaTech	1710.636468013235
CentralMichigan	1690.5946555059945
Clemson	1661.8605537171732
FloridaState	1652.4184515176707
TexasTech	1650.4826327293288
Houston	1634.701157411396
Missouri	1633.2825495894442
Arizona	1631.9702666207484
Navy	1627.8206085495256
Oregon	1627.5553224959451
UCLA	1623.6607539641138
Ohio	1619.0610843974093
SanJose State	1612.669167171532
ArizonaState	1607.0834360944286
OklahomaState	1606.5090007203582
SouthernIllinois	1605.8804763494832
Utah	1593.1082388258787
Purdue	1590.2022976158705
NewHampshire	1587.095741632221
KansasState	1583.3729916272068
SouthernMississippi	1581.305752898232
WesternMichigan	1579.6814678243566
WashingtonState	1572.959723579497
Minnesota	1572.32932372406
Troy	1568.1343735085165
Tulsa	1564.6172319586067
MontanaState	1563.4774372182894
Rice	1556.6993996435015
MiddleTennessee State	1548.7607574572698
Richmond	1541.8600583450504
Pittsburgh	1541.803251802125
Nevada	1540.2546575193549
EastCarolina	1534.9623521941214
Washington	1532.3577034531504
Iowa	1514.7332771551075
NorthernIllinois	1506.7646062923156
Alabama	1504.9368401578695
Kansas	1503.0545933878634
Indiana	1499.439395004214
Wyoming	1489.7021302899338
CalPoly	1487.8605095384676
NorthDakota State	1486.493550113166
PortlandState	1472.7779640197473
Connecticut	1470.1157964064987
WesternCarolina	1467.6859987138569
SouthernMethodist	1464.9368155597515
Syracuse	1460.3791172039143
SacramentoState	1459.7604933174946
NewMexico	1455.9573097189439
Howard	1453.55259861359
WesternIllinois	1452.785536056708
Liberty	1452.4667702034806
Mississippi	1448.8777509606412
SoutheastMissouri State	1448.617487973589
Virginia	1445.523174533345
California-Davis	1444.493289881166
Maine	1443.3979293100947
Northeastern	1441.2769360883324
Louisiana	1438.0818810959763
WesternKentucky	1436.7423187505033
Wofford	1435.9469860637437
Vanderbilt	1435.6770399096392
BallState	1433.8242565096352
William& Mary	1432.5047983291788
YoungstownState	1428.7750978063902
TexasState	1428.0361727614113
Samford	1427.5048632796288
EasternKentucky	1427.257228192378
GramblingState	1427.049193345955
ArkansasState	1425.9742812828804
Marshall	1423.7556455180566
Massachusetts	1423.2614249051796
Tennessee-Martin	1422.0951925977945
FloridaAtlantic	1420.729850300889
MurrayState	1418.1031122649588
Baylor	1416.7089974212893
MissouriState	1413.2676885901512
AlabamaState	1412.5847624180635
Northwestern	1409.5852407574203
IllinoisState	1409.566874001226
TennesseeTech	1403.7394683982195
EasternWashington	1401.9809980362777
Montana	1395.3207382786247
Miami	1394.3420842102857
Akron	1391.8843601609317
KentState	1389.5849688719918
IowaState	1386.740477915236
MississippiState	1385.4750325998273
RhodeIsland	1384.1789354112298
Toledo	1384.0137589681306
NorthCarolina A&T	1383.9612798483486
Tulane	1382.95428722256
MichiganState	1382.9366412972247
Hofstra	1381.1976285643846
SouthernUtah	1377.3613096506892
NorthernIowa	1373.6764743572835
TennesseeState	1373.3157692356456
AirForce	1371.7091641103602
Villanova	1368.9836541923014
FloridaA&M	1368.1849774727405
AlcornState	1367.1472268600064
Texas-ElPaso	1367.143501248408
FresnoState	1366.7730333476275
CentralFlorida	1364.3602178348758
JacksonvilleState	1363.7536350106895
TexasSouthern	1362.9131740501548
AppalachianState	1360.9785800842947
Furman	1360.1397173615792
WeberState	1359.3559734982962
VirginiaMilitary Institute	1357.9228086382097
Citadel	1356.3178957625337
StephenF. Austin	1349.0915036013823
SamHouston	1347.974311972602
NorthernArizona	1346.533369223226
Louisiana-Monroe	1344.4334619464958
NorthCarolina State	1342.8545483097407
Chattanooga	1339.0475643440732
NorthCarolina	1338.139463475241
Idaho	1334.9398962257128
IndianaState	1334.759948394165
McNeeseState	1329.9241935321757
SanDiego State	1316.090499730884
NewMexico State	1308.7972918434207
ColoradoState	1306.3379968840718
EasternIllinois	1305.956954245907
NichollsState	1304.7190877944809
Army	1300.8511006257665
Colorado	1284.2859773667356
Alabama-Birmingham	1266.56939553231
SoutheasternLouisiana	1265.672138791926
Illinois	1262.7575724881317
BowlingGreen	1253.4140994102377
LouisianaTech	1249.592803613062
Stanford	1248.524471144308
IdahoState	1241.613583006887
NorthwesternState	1234.908700410256
NorthTexas	1230.0578066167652
Buffalo	1211.7616389497227
Nevada-LasVegas	1210.6777395922695
Memphis	1209.207436020027
Temple	1153.060738902431
UtahState	1137.7739898956886
EasternMichigan	1122.444440143244
Duke	1046.440207544974
FloridaInternational	980.9279771354278
