,Random Walk,Elo,Bradley-Terry,TTU,AP Poll
Random Walk,0.0,0.5555512429893846,0.6345747055056375,-0.04,0.1111111111111111
Elo,0.5555512429893846,0.0,0.6303828911874867,0.48,0.6597222222222222
Bradley-Terry,0.6345747055056375,0.6303828911874867,0.0,0.56,0.6736111111111112
TTU,-0.04,0.48,0.56,0.0,0.32
AP Poll,0.1111111111111111,0.6597222222222222,0.6736111111111112,0.32,0.0
